number,title,character,line
4,Star Trek IV: The Voyage Home,SAREK,Why did you leave him on Genesis! Spock trusted you. You denied him his future!
4,Star Trek IV: The Voyage Home,KIRK,I saw no future.
4,Star Trek IV: The Voyage Home,SAREK,"Only his body was in death, Kirk. ...bring him to us ...and bring that which he gave you ...his living spirit."
4,Star Trek IV: The Voyage Home,KIRK,...if there's a chance that Spock has an eternal soul ...then it's my responsibility. ...Give me back the Enterprise!
4,Star Trek IV: The Voyage Home,MORROW,"Out of the question, my friend!"
4,Star Trek IV: The Voyage Home,SULU,"The word, sir?"
4,Star Trek IV: The Voyage Home,KIRK,The word ...is no I am therefore going anyway.
4,Star Trek IV: The Voyage Home,FIRST OFFICER,"Sir, someone is stealing the Enterprise!"
4,Star Trek IV: The Voyage Home,STARFLEET VOICE,"All stations, Yellow Alert!"
4,Star Trek IV: The Voyage Home,CHEKOV,"Sir. Commander, Starfleet on emergency channel. He orders you to surrender this vessel."
4,Star Trek IV: The Voyage Home,KIRK,"No reply, Chekov."
4,Star Trek IV: The Voyage Home,SULU,One minute to space doors.
4,Star Trek IV: The Voyage Home,STYLES,"Kirk! If you do this, you'll never sit in the Captain's chair again."
4,Star Trek IV: The Voyage Home,KIRK,Warp speed.
4,Star Trek IV: The Voyage Home,SULU,...Warp speed.
4,Star Trek IV: The Voyage Home,KIRK,Best speed to Genesis. Captain's log. Unfortunately we were not the first to arrive.
4,Star Trek IV: The Voyage Home,SULU,"Klingon Bird of Prey, sir! She's arming torpedoes!"
4,Star Trek IV: The Voyage Home,KIRK,...your presence here is an act of war.
4,Star Trek IV: The Voyage Home,KRUGE,"Fire! Captain's log. Quickly overpowered, we had no choice but to allow the Klingons aboard, which meant the only way to defeat them was to destroy the Enterprise."
4,Star Trek IV: The Voyage Home,TORG,...The ship appears to be deserted.
4,Star Trek IV: The Voyage Home,KRUGE,...They're hiding! Captain's log. Leaving our ship for the last time we fled to Genesis.
4,Star Trek IV: The Voyage Home,COMPUTER VOICE,"...five,..."
4,Star Trek IV: The Voyage Home,KRUGE,Get out! Get out...
4,Star Trek IV: The Voyage Home,KIRK,...What have I done? Mc
4,Star Trek IV: The Voyage Home,COY,"What you had to do... Captain's log. Just as the planet began to self-destruct we found Spock, and he was alive. His body had been regenerated but his mind was blank. Escaping Genesis we used the captured Klingon vessel to transport us to Vulcan where a mysterious ceremony was performed by Spock's people in an attempt to restore his memory."
4,Star Trek IV: The Voyage Home,SPOCK,...You came back for me.
4,Star Trek IV: The Voyage Home,KIRK,You would have done the same for me.
4,Star Trek IV: The Voyage Home,SPOCK,Why would you do this?
4,Star Trek IV: The Voyage Home,KIRK,"Because the needs of the one ...outweigh the needs of the many. Captain's log. Meanwhile, back on Earth, the punishment for our disobedience awaited us. ""The cast and crew of Star Trek wish to dedicate this film to the men and women of the spaceship Challenger whose courageous spirit shall live to the twenty-third century and beyond...."" OPENING CREDITS"
4,Star Trek IV: The Voyage Home,SARATOGA CAPTAIN,What do you make of it?
4,Star Trek IV: The Voyage Home,SARATOGA HELMSMAN,"It appears to be a probe, Captain, from an intelligence unknown to us."
4,Star Trek IV: The Voyage Home,SARATOGA CAPTAIN,"Continue transmitting, universal 'Peace' and 'Hello' in all known languages. ...Get me Starfleet Command."
4,Star Trek IV: The Voyage Home,SARATOGA HELMSMAN,"Ready, Captain."
4,Star Trek IV: The Voyage Home,SARATOGA CAPTAIN,"Starfleet Command, this is U.S.S. Saratoga patrolling Sector Five, Neutral Zone. We are tracking a probe of unknown origin on apparent trajectory to the Terran solar system. Attempts to communicate with the probe have been negative on all known frequencies."
4,Star Trek IV: The Voyage Home,STARFLEET VOICE,"Continue tracking, Saratoga. We will analyze transmissions and advise."
4,Star Trek IV: The Voyage Home,SARATOGA CAPTAIN,"Roger, Starfleet, Saratoga out."
4,Star Trek IV: The Voyage Home,COMPUTER VOICE,"...six, ...five, ...four, ...three, ...two, ...one..."
4,Star Trek IV: The Voyage Home,KLINGON AMBASSADOR,"Hold the image. Hold! ...Behold! The quintessential devil in these matters! James T. Kirk, renegade and terrorist! Not only is he responsible for the murder of a Klingon crew, the theft of a Klingon vessel. See now the real plot and intentions, Even as this Federation was negotiating a peace treaty with us, Kirk was secretly developing the Genesis torpedo, conceived by Kirk's son and test detonated by the Admiral himself! The result of this awesome energy was euphemistically called 'The Genesis Planet' ...A secret base from which to launch the annihilation of the Klingon people! We demand the extradition of Kirk! We demand justice!"
4,Star Trek IV: The Voyage Home,SAREK,"Klingon justice is a unique point of view, Mister President. ...Genesis was perfectly named. The creation of life not death. The Klingons shed the first blood while attempting to possess its secrets."
4,Star Trek IV: The Voyage Home,KLINGON AMBASSADOR,Vulcans are well known as the intellectual puppets of this Federation!
4,Star Trek IV: The Voyage Home,SAREK,Your vessel did destroy U.S.S. Grissom. Your men did kill Kirk's son. Do you deny these events?
4,Star Trek IV: The Voyage Home,KLINGON AMBASSADOR,We deny nothing! We have the right to preserve our race!
4,Star Trek IV: The Voyage Home,SAREK,Do you have the right to commit murder?
4,Star Trek IV: The Voyage Home,FEDERATION PRESIDENT,Silence! Silence! There will be no further outbursts from the floor.
4,Star Trek IV: The Voyage Home,SAREK,"Mister President, I have come to speak on behalf of the accused."
4,Star Trek IV: The Voyage Home,KLINGON AMBASSADOR,Personal bias! His son was saved by Kirk!
4,Star Trek IV: The Voyage Home,FEDERATION PRESIDENT,"Mister Ambassador, with all respect, the Council's deliberations are over."
4,Star Trek IV: The Voyage Home,KLINGON AMBASSADOR,Then Kirk goes unpunished?
4,Star Trek IV: The Voyage Home,FEDERATION PRESIDENT,Admiral Kirk has been charged with nine violations of Starfleet regulations.
4,Star Trek IV: The Voyage Home,KLINGON AMBASSADOR,"Starfleet regulations? That's outrageous! Remember this well. There shall be no peace as long as Kirk lives! Captain's log, stardate 8390. We are in the third month of our Vulcan exile. And it was Doctor McCoy with a fine sense of historical irony, who decided on a name for our captured Klingon vessel. Captain's log. ...And like those mutineers of five hundred years ago, we too have a hard choice to make."
