number,title,character,line
5,Star Trek V: The Final Frontier,COY,"'You'll have a great time, Bones. You'll enjoy your shore leave. You'll be able to relax.' You call this relaxing? I'm a nervous wreck. ...If I'm not careful I'll end up talking to myself."
5,Star Trek V: The Final Frontier,SPOCK,"Greetings, Captain."
5,Star Trek V: The Final Frontier,KIRK,Spock! ...What are you doing in this neck of the woods?
5,Star Trek V: The Final Frontier,SPOCK,I have been monitoring your progress.
5,Star Trek V: The Final Frontier,KIRK,"I'm flattered. Twelve hundred points of interest in Yosemite, you pick me."
5,Star Trek V: The Final Frontier,SPOCK,I regret to inform you that the record time for free-climbing El Capitan is in no danger of being broken.
5,Star Trek V: The Final Frontier,KIRK,I'm not trying to break any records. I'm doing this because I enjoy it. Not to mention the most important reason for climbing a mountain.
5,Star Trek V: The Final Frontier,SPOCK,And that is?
5,Star Trek V: The Final Frontier,KIRK,Because it's there.
5,Star Trek V: The Final Frontier,SPOCK,"Captain, I do not think you realize the gravity of your situation."
5,Star Trek V: The Final Frontier,KIRK,"On the contrary. Gravity is foremost on my mind. Look, I'm trying to make an ascent here. Why don't you go pester Doctor McCoy for a while?"
5,Star Trek V: The Final Frontier,SPOCK,I believe that Doctor McCoy is not in the best of moods.
5,Star Trek V: The Final Frontier,COY,Goddamn irresponsible! ...Playing games with life.
5,Star Trek V: The Final Frontier,SPOCK,Concentration is vital. You must be one with the rock.
5,Star Trek V: The Final Frontier,KIRK,"Spock, I appreciate your concern but if you don't stop distracting me, I'm liable to be one with the..."
5,Star Trek V: The Final Frontier,SPOCK,Perhaps 'because it is there' is not a sufficient reason for wanting for climbing a mountain.
5,Star Trek V: The Final Frontier,KIRK,I'm hardly in a position to disagree.
5,Star Trek V: The Final Frontier,KIRK,"Hi, Bones. Mind if we drop in for dinner?"
5,Star Trek V: The Final Frontier,CAITHLIN,"Gentlemen, I'm Caithlin Dar."
5,Star Trek V: The Final Frontier,TALBOT,"Ah, yes. Our new Romulan representative. Welcome to Paradise City, my dear, capital of the so-called 'Planet of Galactic Peace.' I'm St. John Talbot, the Federation representative here on Nimbus Three and my charming companion, here, is the Klingon consul Korrd."
5,Star Trek V: The Final Frontier,KORRD,Ugghhhh!
5,Star Trek V: The Final Frontier,CAITHLIN,I expect that's Klingon for hello.
5,Star Trek V: The Final Frontier,TALBOT,"Won't you come in, my dear?"
5,Star Trek V: The Final Frontier,CAITHLIN,"Twenty years ago, our three governments agreed to develop this planet together. A new age was born."
5,Star Trek V: The Final Frontier,TALBOT,"Our new age died a quick death. And the settlers we conned into coming here, they were the dregs of the galaxy. They immediately took to fighting amongst themselves. We forbad them weapons, but they soon began to fashion their own."
5,Star Trek V: The Final Frontier,CAITHLIN,Right! Then it appears I've arrived just in time.
5,Star Trek V: The Final Frontier,J'ONN,Get away from that transmitter!
5,Star Trek V: The Final Frontier,SYBOK,Romulan. ...Terran. ...Klingon. Consider yourselves my prisoners.
5,Star Trek V: The Final Frontier,TALBOT,Prisoners? We're already prisoners here on this worthless lump of rock. What possible value could we be to you?
5,Star Trek V: The Final Frontier,SYBOK,"Nimbus Three may be a worthless lump of rock, but it does have one unique treasure. It's the only place in the entire galaxy that has the three of you."
5,Star Trek V: The Final Frontier,CAITHLIN,I don't know who you are or what you want but I can tell you this. Our governments will stop at nothing to ensure our safety.
5,Star Trek V: The Final Frontier,SYBOK,That's exactly what I'm counting on.
5,Star Trek V: The Final Frontier,SCOTT,"U.S.S. Enterprise, shakedown cruise report. I think this new ship was put together by monkeys. Och, she's got a fine engine, but half the doors won't open, and guess whose job it is to make it right?"
5,Star Trek V: The Final Frontier,SCOTT,"Borgus frat! 'Let's see what she's got' said the Captain. And then we found out, didn't we?"
5,Star Trek V: The Final Frontier,UHURA,"I know you'll whip her into shape, Scotty. You always do."
5,Star Trek V: The Final Frontier,SCOTT,"Uhura, I thought you were on leave?"
5,Star Trek V: The Final Frontier,UHURA,And I thought we were supposed to be going together.
5,Star Trek V: The Final Frontier,SCOTT,Oh I can't leave her when she needs me the most.
5,Star Trek V: The Final Frontier,UHURA,I had a feeling you would say something like that. So I brought us ...dinner.
5,Star Trek V: The Final Frontier,SCOTT,"Oh lass, you're the most understanding woman I know."
5,Star Trek V: The Final Frontier,COMMAND VOICE,RED ALERT. RED ALERT.
5,Star Trek V: The Final Frontier,SCOTT,"I just fixed that damn thing. Turn it off, will you?"
5,Star Trek V: The Final Frontier,COMMAND VOICE,"RED ALERT. RED ALERT. This is a RED ALERT. Enterprise, acknowledge."
5,Star Trek V: The Final Frontier,UHURA,This is Enterprise. Identify yourself.
5,Star Trek V: The Final Frontier,COMMAND VOICE,"Enterprise, this is Starfleet. We have a Priority Seven situation in the Neutral Zone."
5,Star Trek V: The Final Frontier,UHURA,"Stand by, Starfleet. ...Scotty, this is for real."
5,Star Trek V: The Final Frontier,SCOTT,They can't be serious! The ship's in pieces and we've got less than a skeleton crew aboard.
5,Star Trek V: The Final Frontier,UHURA,"Starfleet, are you aware of our current status?"
5,Star Trek V: The Final Frontier,COMMAND VOICE,Current status understood. Stand by to copy operational orders and recall key personnel.
5,Star Trek V: The Final Frontier,CHEKOV,Admit it. We're lost.
5,Star Trek V: The Final Frontier,SULU,"All right, we're lost. But we're making good time."
5,Star Trek V: The Final Frontier,UHURA,"Commander Sulu, come in please."
5,Star Trek V: The Final Frontier,SULU,I don't believe this. Commander Sulu here.
5,Star Trek V: The Final Frontier,UHURA,"Bad news, gentlemen. Shore leave is canceled."
5,Star Trek V: The Final Frontier,CHEKOV,Rescued at last.
5,Star Trek V: The Final Frontier,UHURA,Return to the prearranged coordinates for pickup.
5,Star Trek V: The Final Frontier,CHEKOV,You can't tell them we're lost. We'd never live it down.
5,Star Trek V: The Final Frontier,UHURA,"Is there a problem, gentlemen?"
5,Star Trek V: The Final Frontier,SULU,"Er, ...yes. Er... We've been caught in a blizzard!"
5,Star Trek V: The Final Frontier,CHEKOV,"Shhhh, Shhhh, and we can't see a thing. Request you direct us to the co-ordinates."
5,Star Trek V: The Final Frontier,UHURA,My visual says ...sunny skies and seventy degrees.
5,Star Trek V: The Final Frontier,CHEKOV,Sulu! Look! The sun's come out! It's a miracle!
5,Star Trek V: The Final Frontier,UHURA,"Don't worry, fellas. Your secret's safe with me. I'll send the shuttlecraft to pick you up."
5,Star Trek V: The Final Frontier,SULU,"Uhura, I owe you one."
5,Star Trek V: The Final Frontier,COY,Come and get it! Come and get it!
5,Star Trek V: The Final Frontier,KIRK,"Bones! Bones! Knock it off. We're right here, ...and we're starving."
5,Star Trek V: The Final Frontier,SPOCK,"Bi-podal seeds, Doctor? Mc"
5,Star Trek V: The Final Frontier,COY,"Beans, Spock, but no ordinary beans. These are from an old Southern recipe handed down to me by my father. And if you stick your Vulcan nose up at these, you're not only insulting me, but generations of McCoys."
5,Star Trek V: The Final Frontier,SPOCK,"In that case, I have little choice but to sample your beans. ...Hm! Surprisingly good. It does have a flavoring I am not familiar with. Mc"
5,Star Trek V: The Final Frontier,COY,Ah! That's the secret ingredient.
5,Star Trek V: The Final Frontier,KIRK,"Got any more of that secret ingredient, Bones? Mc"
5,Star Trek V: The Final Frontier,COY,"Be my guest, Captain."
5,Star Trek V: The Final Frontier,KIRK,Thank you.
5,Star Trek V: The Final Frontier,SPOCK,Am I to understand that your secret ingredient is ...alcohol? Mc
5,Star Trek V: The Final Frontier,COY,"Whiskey. Tennessee whiskey, Spock! . Care for a little snort?"
5,Star Trek V: The Final Frontier,KIRK,Bourbon and beans. An explosive combination. Do you think Spock can handle it? Mc
5,Star Trek V: The Final Frontier,COY,Are you kidding? With that Vulcan metabolism he could eat a bowl of termites and it wouldn't bother him.
5,Star Trek V: The Final Frontier,SPOCK,"As you are so fond of pointing out, Doctor, I am half human. Mc"
5,Star Trek V: The Final Frontier,COY,"Well, it certainly doesn't show."
5,Star Trek V: The Final Frontier,SPOCK,Thank you. Mc
5,Star Trek V: The Final Frontier,COY,"How do you like it? This guy never changes. I insult him and he takes it as a compliment. ...Uh, you two of you could drive a man to drink."
5,Star Trek V: The Final Frontier,KIRK,Me? What did I do? Mc
5,Star Trek V: The Final Frontier,COY,What did you do? You piss me off. Human life is far too precious to risk on crazy stunts. Maybe it didn't cross that macho mind of yours that you should have been killed when you fell off that mountain.
5,Star Trek V: The Final Frontier,KIRK,It crossed my mind. Mc
5,Star Trek V: The Final Frontier,COY,And?
5,Star Trek V: The Final Frontier,KIRK,"And, as I fell, I knew I wouldn't die. Mc"
5,Star Trek V: The Final Frontier,COY,I thought he was the only one who's immortal.
5,Star Trek V: The Final Frontier,KIRK,"It isn't that, Bones. I knew I wouldn't die because the two of you were with me."
5,Star Trek V: The Final Frontier,SPOCK,I do not understand.
5,Star Trek V: The Final Frontier,KIRK,I've always known ...I'll die alone. Mc
5,Star Trek V: The Final Frontier,COY,"Well, I'll call Valhalla and reserve you a room. It's a mystery what draws us together. All that time in space ...getting on each other's nerves ...and what do we do when shore leave comes along? We spend it together. Other people have families."
5,Star Trek V: The Final Frontier,KIRK,"Other people, Bones. Not us. ...What are you doing?"
5,Star Trek V: The Final Frontier,SPOCK,I am preparing to toast a 'marsh melon'. Mc
5,Star Trek V: The Final Frontier,COY,"Well, I'll be damned. A marsh melon. Where did you learn to do that?"
5,Star Trek V: The Final Frontier,SPOCK,Before leaving the ship I consulted the computer library to familiarize myself with the customs associated with 'camping out.' Mc
5,Star Trek V: The Final Frontier,COY,"Tell me, Spock. What do we do after we toast the marsh, ...er, melons?"
5,Star Trek V: The Final Frontier,SPOCK,We consume them. Mc
5,Star Trek V: The Final Frontier,COY,I know we consume them. I mean after that.
5,Star Trek V: The Final Frontier,SPOCK,I believe we are required to engage in a ritual known as the sing-a-long.
5,Star Trek V: The Final Frontier,KIRK,"I haven't sung around a campfire since I was a boy in Iowa. Wait a minute. Bones, what are we gonna sing? Mc"
5,Star Trek V: The Final Frontier,COY,How about 'Camptown Races?'
5,Star Trek V: The Final Frontier,KIRK,'Pack Up Your Troubles.'
5,Star Trek V: The Final Frontier,SPOCK,"Are we leaving, Captain? Mc"
5,Star Trek V: The Final Frontier,COY,"It's a song title, Spock."
5,Star Trek V: The Final Frontier,SPOCK,Ah.
5,Star Trek V: The Final Frontier,KIRK,'Moon Over Rigel Seven?' Mc
5,Star Trek V: The Final Frontier,COY,"'Row, Row, Row Your Boat.'"
5,Star Trek V: The Final Frontier,KIRK,"'Row, Row, Row Your Boat.' I love 'Row, Row... Do you 'Row, Row, ...Row Your Boat', Spock?"
5,Star Trek V: The Final Frontier,SPOCK,"That song did not come up in my research, Captain."
5,Star Trek V: The Final Frontier,KIRK,"The lyrics are very simple. It's 'Row, row, row your boat, gently down the stream, ...merrily, merrily, merrily, merrily, life is but a dream.' The Doctor and I will start it off and then when we give you the signal you jump in. Doctor if you please. Mc"
5,Star Trek V: The Final Frontier,COY,Don't say I didn't warn you. KIRK/Mc
5,Star Trek V: The Final Frontier,COY,"'Row, row, row your boat gently down the stream merrily, merrily, merrily, ...merrily, life...'"
5,Star Trek V: The Final Frontier,KIRK,"Come on, Spock? Why didn't you jump in?"
5,Star Trek V: The Final Frontier,SPOCK,I was trying to comprehend the meaning of the words. Mc
5,Star Trek V: The Final Frontier,COY,"It's a song, you green-blooded a Vulcan. You sing it. The words aren't important. What's important is that you have a good time singing it."
5,Star Trek V: The Final Frontier,SPOCK,"Oh, I am sorry, Doctor. ...Were we having a good time? Mc"
5,Star Trek V: The Final Frontier,COY,God! I liked him better before he died.
5,Star Trek V: The Final Frontier,KIRK,"No, no, no, stop it. Let's... Let's go to bed and just let's get some sleep?"
5,Star Trek V: The Final Frontier,SPOCK,Captain?
