number,title,character,line
8,Star Trek: First Contact,BORG QUEEN,Locutus.
8,Star Trek: First Contact,PICARD,I am Locutus of Borg. Resistance is futile.
8,Star Trek: First Contact,PICARD,Authorisation Picard four seven alpha tango. ...Admiral?
8,Star Trek: First Contact,HAYES,Did I catch you at a bad time Jean-Luc?
8,Star Trek: First Contact,PICARD,"No, of course not."
8,Star Trek: First Contact,HAYES,I've just received a disturbing report from Deep Space 5. Our colony on Ivor Prime was destroyed this morning. Long-range sensors have picked up...
8,Star Trek: First Contact,PICARD,"Yes, I know. ...The Borg. Captains log, stardate 50893.5. The moment I have dreaded for nearly six years has finally arrived. The Borg, our most lethal enemy have begun an invasion of the Federation, and this time there may be no stopping them."
8,Star Trek: First Contact,RIKER,How many ships?
8,Star Trek: First Contact,PICARD,"One, and it's on a direct course for Earth. It'll cross the Federation border in less than an hour. Admiral Hayes is mobilizing a fleet in the Typhon sector."
8,Star Trek: First Contact,DATA,At maximum warp it will take us three hours twenty-five minutes.
8,Star Trek: First Contact,PICARD,We're not going.
8,Star Trek: First Contact,RIKER,"What do you mean, 'We're not going'?"
8,Star Trek: First Contact,PICARD,"Our orders are to patrol the Neutral Zone, in case the Romulans decide to take advantage of the situation."
8,Star Trek: First Contact,TROI,The Romulans?
8,Star Trek: First Contact,DATA,"Captain, there has been no unusual activity along the Romulan border for nine months. It seems highly unlikely they would choose this moment to start a conflict."
8,Star Trek: First Contact,CRUSHER,Does Starfleet feel we need more shakedown time?
8,Star Trek: First Contact,LAFORGE,"Captain, we've been out in space for nearly a year now. We're ready! The Enterprise-E is the most advanced starship in the fleet. We should be on the front line."
8,Star Trek: First Contact,PICARD,"I have gone over all this with Starfleet Command. Their orders stand. ...Number One, set a course for the Neutral Zone"
8,Star Trek: First Contact,RIKER,Bizet?
8,Star Trek: First Contact,PICARD,Berlioz. What do you have?
8,Star Trek: First Contact,RIKER,We've finished our first sensor sweep of the Neutral Zone.
8,Star Trek: First Contact,PICARD,"Oh, fascinating. Twenty particles of space dust per cubic meter. Fifty-two ultra-violet radiation spikes and a class two comet. Well, this is certainly worthy of our attention."
8,Star Trek: First Contact,RIKER,"Captain, why are we out here chasing comets?"
8,Star Trek: First Contact,PICARD,Let's just say that Starfleet has every confidence in the Enterprise and her crew. They're just not sure about her Captain. They believe that a man who was once captured and assimilated by the Borg should not be put in a situation where he would face them again. To do so would introduce an unstable element to a critical situation
8,Star Trek: First Contact,RIKER,That's ridiculous! Your experience of the Borg makes you the perfect man to lead this fight.
8,Star Trek: First Contact,PICARD,Admiral Hayes disagrees.
8,Star Trek: First Contact,TROI,Bridge to Captain Picard.
8,Star Trek: First Contact,PICARD,Go ahead.
8,Star Trek: First Contact,TROI,We've just received word from the fleet. They've engaged the Borg.
8,Star Trek: First Contact,PICARD,"Data, put Starfleet frequency one four eight six on audio."
8,Star Trek: First Contact,DATA,Aye sir.
8,Star Trek: First Contact,FLEET COMMUNICATIONS,"Flagship to Endeavor. Standby to engage at grid A-fifteen. ...Defiant and Bozeman, fall back to mobile position one. ...Acknowledge. ...We have it in visual range. A Borg cube on course zero point two one five, speed warp point nine six."
8,Star Trek: First Contact,BORG COMMUNICATIONS,We are the Borg. Lower your shields and surrender your ships. We will add your biological and technological distinctiveness to our own. Your culture will adapt to service us. Resistance is futile.
8,Star Trek: First Contact,FLEET COMMUNICATIONS,All units open fire. ...They've broken through the defense perimeter. ... Continue to attack. ...We need reinforcements. ...Ninety-six dead and twenty-two wounded on the Lexington.
8,Star Trek: First Contact,PICARD,Lieutenant Hawk. Set a course for Earth.
8,Star Trek: First Contact,HAWK,Aye sir.
8,Star Trek: First Contact,PICARD,Maximum warp. ...I am about to commit a direct violation of our orders. Any of you who wish to object should do so now. It will be noted in my log.
8,Star Trek: First Contact,DATA,"Captain, I believe I speak for everyone here, sir, when I say ...to hell with our orders."
8,Star Trek: First Contact,RIKER,RED ALERT! All hands to battle stations.
8,Star Trek: First Contact,PICARD,Engage.
8,Star Trek: First Contact,WORF,Report!
8,Star Trek: First Contact,CONN OFFICER,Main power is off-line. We've lost shields and our weapons have gone.
8,Star Trek: First Contact,WORF,Perhaps today is a good day to die. Prepare for ramming speed!
8,Star Trek: First Contact,CONN OFFICER,"Sir, there's another starship coming in. ...It's the Enterprise!"
8,Star Trek: First Contact,RIKER,The Defiant's losing life support.
8,Star Trek: First Contact,PICARD,Bridge to transporter room three. Beam the Defiant survivors aboard.
8,Star Trek: First Contact,RIKER,"Captain, the Admiral's ship has been destroyed."
8,Star Trek: First Contact,PICARD,What is the status of the Borg cube?
8,Star Trek: First Contact,DATA,It has sustained heavy damage to its outer hull. I am reading fluctuations in their power grid.
8,Star Trek: First Contact,PICARD,"On screen. ...Number One, open a channel to the fleet."
8,Star Trek: First Contact,RIKER,Channel open.
8,Star Trek: First Contact,PICARD,This is Captain Picard of the Enterprise. I am taking command of the fleet. Target all of your weapons onto the following coordinates. ...Fire on my command.
8,Star Trek: First Contact,DATA,"Sir, the coordinates you have indicated do not appear to be a vital system."
8,Star Trek: First Contact,PICARD,Trust me Data.
8,Star Trek: First Contact,RIKER,"The fleet's responded, sir. They're standing by."
8,Star Trek: First Contact,PICARD,Fire.
8,Star Trek: First Contact,PICARD,Mister Hawk. Pursuit course. ...Engage.
8,Star Trek: First Contact,HAWK,Aye sir.
8,Star Trek: First Contact,TROI,What?
8,Star Trek: First Contact,PICARD,I can hear them.
8,Star Trek: First Contact,CRUSHER,I have a patient here who insists on coming to the bridge.
8,Star Trek: First Contact,PICARD,"Welcome aboard the Enterprise, Mister Worf."
8,Star Trek: First Contact,WORF,Thank you sir. ...The Defiant?
8,Star Trek: First Contact,PICARD,"Adrift, but salvageable."
8,Star Trek: First Contact,RIKER,Tough little ship.
8,Star Trek: First Contact,WORF,Little?
8,Star Trek: First Contact,PICARD,"Mister Worf, we could use some help at tactical."
8,Star Trek: First Contact,RIKER,You do remember how to fire phasers?
8,Star Trek: First Contact,DATA,Sensors show chronometric particles emanating from the sphere.
8,Star Trek: First Contact,PICARD,They're creating a temporal vortex.
8,Star Trek: First Contact,RIKER,Time travel!
8,Star Trek: First Contact,PICARD,"Data, report!"
8,Star Trek: First Contact,DATA,We appear to be caught in a temporal wake.
8,Star Trek: First Contact,WORF,"Captain, ...Earth."
8,Star Trek: First Contact,DATA,"The atmosphere contains high concentrations of methane, carbon monoxide and fluorine."
8,Star Trek: First Contact,PICARD,Life signs?
8,Star Trek: First Contact,DATA,Population ...approximately nine billion. ...All Borg!
8,Star Trek: First Contact,TROI,How?
8,Star Trek: First Contact,PICARD,They must have done it in the past. ...They went back and assimilated Earth. ...Changed history.
8,Star Trek: First Contact,CRUSHER,Then if they changed history why are we still here?
8,Star Trek: First Contact,DATA,The temporal wake must somehow have protected us from the changes in the time-line.
8,Star Trek: First Contact,DATA,"Sir, the vortex is collapsing."
8,Star Trek: First Contact,PICARD,"Hold your course, Mister Hawk. We must follow them back. Repair whatever damage they've done."
8,Star Trek: First Contact,LILY,Come on.
8,Star Trek: First Contact,COCHRANE,Good night Eddie. ...Go home.
8,Star Trek: First Contact,LILY,You're gonna regret this tomorrow.
8,Star Trek: First Contact,COCHRANE,"Well, what I think you should have learned about me by now is that I don't have regrets. ...Come on, Lily, one more round."
8,Star Trek: First Contact,LILY,"Z, you've had enough. I'm not going up in that thing with a drunken pilot."
8,Star Trek: First Contact,COCHRANE,But I sure as hell's not going up there sober.
8,Star Trek: First Contact,LILY,What is that?
8,Star Trek: First Contact,COCHRANE,That is the constellation Leo.
8,Star Trek: First Contact,LILY,"No, that."
8,Star Trek: First Contact,LILY,It's the ECON.
8,Star Trek: First Contact,COCHRANE,After all these years?
8,Star Trek: First Contact,LILY,We've got to get to the Phoenix!
8,Star Trek: First Contact,COCHRANE,To hell with the Phoenix.
8,Star Trek: First Contact,PICARD,Report.
8,Star Trek: First Contact,RIKER,Shields are down. Long-range sensors are off-line. Main power's holding
8,Star Trek: First Contact,DATA,According to our astrometric readings we're in the mid twenty-first century. From the radioactive isotopes in the atmosphere I would estimate we have arrived approximately ten years after the Third World War.
8,Star Trek: First Contact,RIKER,Makes sense. Most of the major cities have been destroyed. There are few governments left. Six hundred million dead. No resistance.
8,Star Trek: First Contact,WORF,Captain!
8,Star Trek: First Contact,PICARD,Mister Worf. Quantum torpedoes.
8,Star Trek: First Contact,WORF,"Ready, sir."
8,Star Trek: First Contact,PICARD,Fire.
8,Star Trek: First Contact,PICARD,They were firing at the surface. Location?
8,Star Trek: First Contact,RIKER,"Western hemisphere, ...North American continent. At a missile complex in central Montana."
8,Star Trek: First Contact,PICARD,"A missile complex? ...The date? Mister Data, I need to know the exact date."
8,Star Trek: First Contact,DATA,"April fourth, two thousand sixty-three."
8,Star Trek: First Contact,PICARD,April fourth?
8,Star Trek: First Contact,RIKER,The day before First Contact.
8,Star Trek: First Contact,DATA,Precisely.
8,Star Trek: First Contact,CRUSHER,Then the missile complex must be the one where Zefram Cochrane is building his warp ship.
8,Star Trek: First Contact,PICARD,That's what they came here to do. Stop First Contact.
8,Star Trek: First Contact,RIKER,"How much damage, Lieutenant?"
8,Star Trek: First Contact,HAWK,I can't tell. Long-range sensors are still off-line.
8,Star Trek: First Contact,PICARD,"We'll have to go down there. Find out what happened. Data, Beverly, you're with me. Have a security team meet us in transporter room three. Computer. Mid-twenty-first century civilian clothing. ...Number One, you have the bridge."
8,Star Trek: First Contact,PICARD,Over here.
8,Star Trek: First Contact,CRUSHER,They're all dead.
8,Star Trek: First Contact,PICARD,"See if one of them is Cochrane. Data, let's go check the warp ship."
8,Star Trek: First Contact,DATA,The structural integrity of the missile appears to be in tact. The fuselage is slightly damaged.
8,Star Trek: First Contact,PICARD,We should have the original blueprints on the Enterprise computer. Commander La Forge will need to bring a team down here.
8,Star Trek: First Contact,PICARD,Hold your fire! We're here to help you!
8,Star Trek: First Contact,LILY,Bullshit!
8,Star Trek: First Contact,DATA,"Captain, I believe I can handle this."
8,Star Trek: First Contact,DATA,Greetings!
8,Star Trek: First Contact,DATA,"Captain, this woman requires medical attention."
8,Star Trek: First Contact,CRUSHER,Severe theta radiation poisoning.
8,Star Trek: First Contact,DATA,Radiation is coming from the damaged throttle assembly.
8,Star Trek: First Contact,CRUSHER,"We're all gonna have to be inoculated, ...and I have to get her to sickbay."
8,Star Trek: First Contact,PICARD,Doctor...
8,Star Trek: First Contact,CRUSHER,"Please, no lectures about the Prime Directive. I will keep her unconscious."
8,Star Trek: First Contact,PICARD,Very well. Tell Commander Riker to beam down with a search party. We need to find Cochrane.
8,Star Trek: First Contact,CRUSHER,Crusher to Enterprise. Two to beam directly to sickbay.
8,Star Trek: First Contact,PICARD,We have less than forty-eight hours before this ship has to be launched. Picard to engineering.
8,Star Trek: First Contact,LAFORGE,La Forge here.
8,Star Trek: First Contact,PICARD,"Geordi, Cochrane's ship was damaged in the attack. Get down here with an engineering detail. We have work to do."
8,Star Trek: First Contact,LAFORGE,"Right, I'm on my way, Captain. Alpha team. Let's assemble in transporter room three. We're heading down to the surface. ...Porter, you're gonna be in command 'til I get back. And, Porter, check out the environmental controls while I'm gone. It's getting a little warm in here. All right, let's go."
8,Star Trek: First Contact,PICARD,Isn't it amazing? This ship used to be a nuclear missile.
8,Star Trek: First Contact,DATA,It is an historical irony that Doctor Cochrane would use an instrument of mass-destruction to inaugurate an era of peace.
8,Star Trek: First Contact,PICARD,"It's a boyhood fantasy, Data. I must have seen this ship hundreds of times in the Smithsonian, but I was never able to touch it."
8,Star Trek: First Contact,DATA,"Sir, does tactile contact alter your perception of the Phoenix?"
8,Star Trek: First Contact,PICARD,"Oh, yes. For humans, touch can connect you to an object in a very personal way. It makes it seem more real."
8,Star Trek: First Contact,DATA,I am detecting imperfections in the titanium casing. Temperature variations in the fuel manifold. It's no more real to me now than it was a moment ago.
8,Star Trek: First Contact,TROI,Would you three like to be alone?
8,Star Trek: First Contact,PICARD,What have you found out?
8,Star Trek: First Contact,TROI,There's no sign of Cochrane anywhere in the complex.
8,Star Trek: First Contact,PICARD,He has to be here. There was nothing more important to him than this ship. This flight. It was his dream.
8,Star Trek: First Contact,TROI,"Captain, we should consider the possibility that Doctor Cochrane was killed in the attack."
8,Star Trek: First Contact,PICARD,Huh. If that's true then the future may die with him.
8,Star Trek: First Contact,EIGER,What do you think?
8,Star Trek: First Contact,PORTER,"That the entire environmental system's gone crazy. It's not just engineering, it's the entire deck. Maybe it's a problem with the EPS conduits."
8,Star Trek: First Contact,PORTER,Hello? ...Hey!
8,Star Trek: First Contact,EIGER,Are you talking to me?
8,Star Trek: First Contact,PORTER,Is there any one else working maintenance in this section?
8,Star Trek: First Contact,EIGER,Not that I know of.
8,Star Trek: First Contact,PORTER,Aarrgh!
