season,episode,title,character,line
1,1,Emissary,LOCUTUS,"Resistance is futile. You will disarm your weapons and escort us to sector zero zero one. If you attempt to intervene, we will destroy you."
1,1,Emissary,CAPTAIN,"Red alert. Load all torpedo bays. Ready phasers. Move us to position alpha, Ensign."
1,1,Emissary,OPS OFFICER,They've locked on.
1,1,Emissary,SISKO,Reroute auxiliary power.
1,1,Emissary,OPS OFFICER,Our shields are being drained. Sixty four percent. Forty two.
1,1,Emissary,CAPTAIN,Recalibrate shield nutation.
1,1,Emissary,TACTICAL,Modulation is having no effect.
1,1,Emissary,OPS OFFICER,Shields have failed.
1,1,Emissary,SISKO,Full reverse.
1,1,Emissary,CAPTAIN,Maintain all Argh!
1,1,Emissary,SISKO,Damage report. Damage report!
1,1,Emissary,COMPUTER,Warning. Damage to warp core. Containment failure in five minutes.
1,1,Emissary,TACTICAL,Direct hit decks one through four.
1,1,Emissary,SISKO,"Let's get the civilians to the escape pods, Lieutenant."
1,1,Emissary,TACTICAL,"Aye, sir."
1,1,Emissary,SISKO,Leave everything. Get to your assigned evacuation area now.
1,1,Emissary,COMPUTER,Warning. Damage to warp core. Containment failure in four minutes.
1,1,Emissary,SISKO,Doran.
1,1,Emissary,TACTICAL,I'll take care of her. You go on.
1,1,Emissary,SISKO,Have you seen Jennifer?
1,1,Emissary,SISKO,Jennifer? Jake!
1,1,Emissary,COMPUTER,Warning. Damage to warp core. Containment failure in three minutes.
1,1,Emissary,SISKO,I'm going to get your mom. You're going to be okay.
1,1,Emissary,SISKO,"Jennifer. Okay, Jake, we'll get your mom out and we'll get out of here."
1,1,Emissary,TACTICAL,Commander!
1,1,Emissary,SISKO,"Help me. Jennifer, hold on."
1,1,Emissary,TACTICAL,Sir.
1,1,Emissary,SISKO,Just help me to get her free.
1,1,Emissary,TACTICAL,She's gone. There's nothing we can do. We have to leave.
1,1,Emissary,COMPUTER,Warning. Damage to warp core. Containment failure in two minutes.
1,1,Emissary,TACTICAL,"Ensign, take the boy."
1,1,Emissary,ENSIGN,"Aye, sir."
1,1,Emissary,TACTICAL,"We've got to go now, sir."
1,1,Emissary,SISKO,"Damn it, we just can't leave her here."
1,1,Emissary,SISKO,"Jake. Jake, you're okay."
1,1,Emissary,CREWMAN,Stand by to launch.
1,1,Emissary,CREWWOMAN,Ready. Stardate 46379.1. Three years later.
1,1,Emissary,SISKO,"Jake, there you are. How are they biting?"
1,1,Emissary,JAKE,Small fries. Threw them back. Want to go for a swim?
1,1,Emissary,SISKO,Don't have time. We have to get ready. It won't be so bad. I've heard that Bajor is a beautiful world.
1,1,Emissary,JAKE,So why can't we live on the planet instead of some old space station?
1,1,Emissary,SISKO,The station is in orbit of Bajor. It'll be just like shore duty.
1,1,Emissary,JAKE,Will there be kids there?
1,1,Emissary,SISKO,Absolutely. Lots of kids.
1,1,Emissary,CAPTAIN,Bridge to Sisko.
1,1,Emissary,SISKO,"Yes, Captain."
1,1,Emissary,CAPTAIN,"We're approaching Deep Space Nine, Commander. We'll be docking in seven minutes."
1,1,Emissary,SISKO,"Acknowledged. Come on. What do you say? We'll take the pond with us. Computer, end program."
1,1,Emissary,JAKE,"Is that it? Commence station log, Deep Space Nine, Commander Benjamin Sisko, Stardate 46388.2. At the request of the Bajoran provisional government, Starfleet has agreed to establish a Federation presence in this system following the withdrawal of Cardassian occupational forces. The first contingent of officers, including my Chief of Operations, Miles O'Brien, arrived two days ago on the Enterprise."
1,1,Emissary,O'BRIEN,I'm told the Cardassians decided to have some fun the day they left. Four Bajorans were killed trying to protect their shops.
1,1,Emissary,SISKO,Why hasn't anybody cleaned this up?
1,1,Emissary,O'BRIEN,"We've got all available personnel assigned to repairing primary systems, sir. The Cardassians took every component of value. We're virtually defenseless. I discussed this with Major Kira, the attaché assigned here by the Bajoran government and we decided"
1,1,Emissary,SISKO,Understood. What about the civilians who operated these shops?
1,1,Emissary,O'BRIEN,"A lot of them lost everything they had. A few are trying to rebuild, but most are packing up to leave."
1,1,Emissary,MONK,"Welcome, Commander. Please enter. The prophets await you."
1,1,Emissary,SISKO,"Another time, perhaps."
1,1,Emissary,MONK,Another time.
1,1,Emissary,O'BRIEN,"When my wife Keiko saw our quarters, she started talking about visiting her mother in Kumamoto. Sir, I wouldn't allow the boy to go roaming. We're still having some security problems."
1,1,Emissary,JAKE,"Dad, there is nothing to sleep on in there except a cushion on the floor."
1,1,Emissary,O'BRIEN,We can get you a real bunk off the Enterprise. I almost forgot. Captain Picard wants to see you as soon as possible.
1,1,Emissary,SISKO,He does. Any word on our science and medical officers yet?
1,1,Emissary,O'BRIEN,They're expected tomorrow.
1,1,Emissary,SISKO,"Jake, I want you to stay here until I come back."
1,1,Emissary,JAKE,Is this the food replicator?
1,1,Emissary,O'BRIEN,I'm afraid they're all offline. There's plenty of emergency rations. I could send some down.
1,1,Emissary,JAKE,Dad?
1,1,Emissary,SISKO,"We're going have to rough it til we get things up and running, Jake, okay?"
1,1,Emissary,JAKE,Okay.
1,1,Emissary,SISKO,Okay.
1,1,Emissary,O'BRIEN,I'd like to ask the designer what he was thinking about when they built this place. I still haven't been able to find an ODN access. that's the Prefect's office up there.
1,1,Emissary,SISKO,So all others have to look up with respect. Cardassian architecture.
1,1,Emissary,O'BRIEN,"Yes, sir. Major Kira's been using it."
1,1,Emissary,SISKO,Is it my imagination or is it unusually warm?
1,1,Emissary,O'BRIEN,The environmental controls in Ops are stuck at thirty-two C. We're working on it.
1,1,Emissary,SISKO,I guess it's time to meet Major Kira.
1,1,Emissary,O'BRIEN,"Sir, have you ever served with any Bajoran women?"
1,1,Emissary,SISKO,No. Why?
1,1,Emissary,O'BRIEN,"I was just wondering, sir."
1,1,Emissary,KIRA,They've become meaningless.
1,1,Emissary,BUREAUCRAT,"I just don't agree, Kira."
1,1,Emissary,KIRA,You are throwing it all away! All of you!
1,1,Emissary,BUREAUCRAT,You're being a fool!
1,1,Emissary,KIRA,"Well then, don't ask my opinion next time!"
1,1,Emissary,KIRA,Yes?
1,1,Emissary,SISKO,I'm Benjamin Sisko.
1,1,Emissary,KIRA,I suppose you want the office.
1,1,Emissary,SISKO,"Well, I thought I'd say hello first and then take the office, but we could do it in any order you'd like."
1,1,Emissary,KIRA,Hello.
1,1,Emissary,SISKO,"Is something bothering you, Major?"
1,1,Emissary,KIRA,"You don't want to ask me that, Commander."
1,1,Emissary,SISKO,Why not?
1,1,Emissary,KIRA,Because I have the bad habit of telling the truth even when people don't want to hear it.
1,1,Emissary,SISKO,Perhaps I want to hear it.
1,1,Emissary,KIRA,I don't believe the Federation has any business being here.
1,1,Emissary,SISKO,The provisional government disagrees with you.
1,1,Emissary,KIRA,The provisional government and I don't agree on a lot of things which is probably why they've sent me to this god-forsaken place. I have been fighting for Bajoran independence since I was old enough to pick up a phaser. We finally drive the Cardassians out and what do our new leaders do? They call up the Federation and invite them right in.
1,1,Emissary,SISKO,The Federation is only here to help
1,1,Emissary,KIRA,"Help us. Yes, I know. The Cardassians said the same thing sixty years ago."
1,1,Emissary,SISKO,"Major, when I was ordered here, I requested a Bajoran national as my first officer. It made sense. It still does, at least to me. Now, you and I are going to have to"
1,1,Emissary,ODO,"Yes, Major?"
1,1,Emissary,KIRA,"Odo, are you reading something at A-fourteen?"
1,1,Emissary,ODO,My security array has been down for two hours. I'll meet you there.
1,1,Emissary,KIRA,"We've been having a lot of break-ins lately. No need for you to come along, Commander."
1,1,Emissary,NOG,Hurry up! Now.
1,1,Emissary,NOG,Now!
1,1,Emissary,ODO,"All right, just stand where you are."
1,1,Emissary,KIRA,Hold it!
1,1,Emissary,SISKO,That's enough!
1,1,Emissary,ODO,Who the hell are you?
1,1,Emissary,KIRA,"Odo, this is our new Starfleet Commander."
1,1,Emissary,ODO,I don't allow weapons on the Promenade. That includes phasers.
1,1,Emissary,QUARK,Nog? What's going on?
1,1,Emissary,ODO,The boy's in a lot of trouble.
1,1,Emissary,QUARK,"Commander, my name is Quark. I used to run the local gambling establishment. This is my brother's boy. Surely you can see that he only has a peripheral involvement in all this. We're scheduled to depart tomorrow. If we could be permitted to take him, I promise you he will be severely"
1,1,Emissary,SISKO,That won't be possible. Take him to the brig.
1,1,Emissary,KIRA,Quark probably sent the two of them here to steal the ore samples in the first place.
1,1,Emissary,SISKO,"Major, there's a Ferengi legal tradition. It's called plea bargaining. I might let the boy go, but I want something in exchange from Mister Quark. Something very important."
1,1,Emissary,O'BRIEN,O'Brien to Commander Sisko.
1,1,Emissary,SISKO,Go ahead.
1,1,Emissary,O'BRIEN,"Sir, the Enterprise hailed us again. Captain Picard is waiting to see you."
1,1,Emissary,SISKO,Acknowledged. This won't take long.
1,1,Emissary,PICARD,Come.
1,1,Emissary,PICARD,"Commander. Yes, please, come in. Welcome to Bajor."
1,1,Emissary,SISKO,"It's been a long time, Captain."
1,1,Emissary,PICARD,Have we met before?
1,1,Emissary,SISKO,"Yes, sir. We met in battle. I was on the Saratoga at Wolf 359."
1,1,Emissary,PICARD,I assume that you have been briefed on the events leading to the Cardassian withdrawal?
1,1,Emissary,SISKO,"Yes, sir. I understand they've spent the last half century robbing the planet of every valuable resource before abandoning it."
1,1,Emissary,PICARD,They've left the Bajorans without a means of being self-sustaining. The relief efforts we've been coordinating are barely adequate. I've come to know the Bajorans. I'm a strong proponents for their entry into the Federation.
1,1,Emissary,SISKO,Is it going to happen?
1,1,Emissary,PICARD,Not easily. The ruling parties are at each others throats. Factions that were united against the Cardassians have resumed old conflicts.
1,1,Emissary,SISKO,Sounds like they're not ready.
1,1,Emissary,PICARD,"Your job is to do everything short of violating the Prime Directive to make sure that they are. I have been made aware by Starfleet of your objections to this assignment. I would have thought that after three years spent at the Utopia Planitia yards, that you would be ready for a change."
1,1,Emissary,SISKO,"I have a son that I'm raising alone, Captain. This is not the ideal environment."
1,1,Emissary,PICARD,"Unfortunately as Starfleet officers, we do not always have the luxury to serve in an ideal environment."
1,1,Emissary,SISKO,"I realize that, sir, and I'm investigating the possibility of returning to Earth for civilian service."
1,1,Emissary,PICARD,Perhaps Starfleet Command should be considering a replacement for you.
1,1,Emissary,SISKO,That's probably a good idea.
1,1,Emissary,PICARD,I'll look into it. In the meantime however
1,1,Emissary,SISKO,"In the meantime, I will do the job I've been ordered to do to the best of my ability, sir."
1,1,Emissary,PICARD,Dismissed.
1,1,Emissary,SISKO,"It's really quite simple, Quark. You're not going to leave."
1,1,Emissary,QUARK,Not going to leave? But we're packed and ready to go.
1,1,Emissary,SISKO,Unpack.
1,1,Emissary,QUARK,"I don't understand, Commander. Why would you want me to stay?"
1,1,Emissary,ODO,I'm curious myself. The man is a gambler and a thief.
1,1,Emissary,QUARK,I'm not a thief.
1,1,Emissary,ODO,You are a thief.
1,1,Emissary,QUARK,"If I am, you haven't been able to prove it for four years."
1,1,Emissary,SISKO,"Please. My officers, the Bajoran engineers, all their families depend on the shops and services of this Promenade. If people like you abandon it, this is going to become a ghost town. We need someone to step forward and say, I'm staying, I'm rebuilding. We need a community leader and it's going to be you, Quark."
1,1,Emissary,QUARK,Community leader?
1,1,Emissary,ODO,Seems reasonable. You have all the character references of a politician.
1,1,Emissary,QUARK,How could I possibly operate my establishment under Starfleet rules of conduct?
1,1,Emissary,SISKO,"This is still a Bajoran station. We're just here to administrate. You run honest games, you won't have any problems from me."
1,1,Emissary,QUARK,"Commander, I've made a career out of knowing when to leave, and this Bajoran provisional government is far too provisional for my taste. And when governments fall, people like me are lined up and shot."
1,1,Emissary,SISKO,"There is that risk but then, you are a gambler, Quark."
1,1,Emissary,ODO,And a thief.
1,1,Emissary,SISKO,"You know, Quark, that poor kid is about to spend the best years of his life in a Bajoran prison. I'm a father myself. I know what your brother must be going through. The boy should be with his family, not in some cold jail cell. Think about it. It's up to you."
1,1,Emissary,ODO,"You know, at first, I didn't think I was going to like him."
1,1,Emissary,SISKO,Major?
1,1,Emissary,KIRA,Everyone else is busy repairing the primary systems. I suppose Starfleet officers aren't used to getting their hands dirty.
1,1,Emissary,KIRA,"In the refugee camps, we learned to do whatever needed to be done. Didn't matter who you were."
1,1,Emissary,SISKO,"I was just talking with our good neighbor, Quark. Te's laying odds that the government's going to fall."
1,1,Emissary,KIRA,Quark knows a good bet when he hears one. This government will be gone in a week and so will you.
1,1,Emissary,SISKO,What happens to Bajor then?
1,1,Emissary,KIRA,Civil war.
1,1,Emissary,SISKO,You think it's inevitable?
1,1,Emissary,KIRA,The only one who can prevent it is Opaka.
1,1,Emissary,SISKO,Opaka?
1,1,Emissary,KIRA,"Our spiritual leader. She's known as the Kai. Our religion is the only thing that holds my people together. If she would call for unity, they'd listen. Leaders of all the factions have tried to get to her, but she lives in seclusion, rarely sees anyone."
1,1,Emissary,MONK,Commander. It is time.
1,1,Emissary,OPAKA,I apologize for the condition in which we greet you.
1,1,Emissary,SISKO,The Cardassians?
1,1,Emissary,OPAKA,Your arrival has been greatly anticipated.
1,1,Emissary,OPAKA,"Have you ever explored your pagh, Commander?"
1,1,Emissary,SISKO,Pagh?
1,1,Emissary,OPAKA,"A Bajoran draws courage from his spiritual life. Our life-force, our pagh, is replenished by the Prophets."
1,1,Emissary,OPAKA,Breathe.
1,1,Emissary,SISKO,"Kai Opaka, if we could discuss"
1,1,Emissary,OPAKA,"Breathe! Ironic. One who does not wish to be among us is to be the Emissary. Please, come with me."
1,1,Emissary,OPAKA,"You are correct that Bajor is in grave jeopardy, but it is the threat to our spiritual life that far outweighs any other."
1,1,Emissary,SISKO,"Perhaps, but I'm powerless until"
1,1,Emissary,OPAKA,Commander. I cannot give you what you deny yourself.
1,1,Emissary,SISKO,I'm sorry?
1,1,Emissary,OPAKA,"Look for solutions from within, Commander. Come with me."
1,1,Emissary,SISKO,What is it?
1,1,Emissary,OPAKA,The Tear of the Prophet.
1,1,Emissary,SISKO,What the hell? Opaka?
1,1,Emissary,JENNIFER,Hey!
1,1,Emissary,SISKO,I'm sorry. it's just that this. Jen?
1,1,Emissary,JENNIFER,Yes?
1,1,Emissary,SISKO,Jennifer?
1,1,Emissary,JENNIFER,I'm sorry did we meet last night at George's party?
1,1,Emissary,SISKO,George? Jennifer. Wait a minute. This is impossible.
1,1,Emissary,JENNIFER,Are you okay?
1,1,Emissary,SISKO,"I know this place. This is Gilgo beach, where we met."
1,1,Emissary,JENNIFER,We met here before?
1,1,Emissary,SISKO,"I was carrying three lemonades. The sand was burning my feet, and I stopped here to. Ow! Do you realize how incredible this is? No, of course you don't. I. Jennifer, have a lemonade."
1,1,Emissary,JENNIFER,I'm afraid I don't accept drinks from strange men on the beach.
1,1,Emissary,JENNIFER,So tell me the truth. Have we really meet before?
1,1,Emissary,SISKO,No.
1,1,Emissary,JENNIFER,Then how did you know my name?
1,1,Emissary,SISKO,"I, er, George told me, at the party."
