season,episode,title,character,line
1,1,Broken Bow,JONATHAN,Where no man has gone before.
1,1,Broken Bow,FATHER,Doctor Cochrane would be proud of you.
1,1,Broken Bow,JONATHAN,I know the whole speech by heart. When's it going to be ready to fly?
1,1,Broken Bow,FATHER,Let the paint dry first.
1,1,Broken Bow,JONATHAN,"No, I mean the ship."
1,1,Broken Bow,FATHER,Not for a while. It hasn't even been built yet. You know that.
1,1,Broken Bow,JONATHAN,How big will it be?
1,1,Broken Bow,FATHER,Pretty big.
1,1,Broken Bow,JONATHAN,Bigger than Ambassador Pointy's ship?
1,1,Broken Bow,FATHER,"His name is Soval, and he's been very helpful. And I've told you not to call him that, Jonathan."
1,1,Broken Bow,JONATHAN,"Well, Billy Cook said we'd be flying at warp five by now if the Vulcans hadn't kept things from us."
1,1,Broken Bow,FATHER,Well they have their reasons. God knows what they are.
1,1,Broken Bow,MOORE,Drop your weapon! I mean it!
1,1,Broken Bow,MOORE,"I don't understand a word you're saying, but I guarantee you I know how to use this."
1,1,Broken Bow,TUCKER,The ventral plating team says they'll be done in about three days.
1,1,Broken Bow,ARCHER,Be sure they match the color to the nacelle housings.
1,1,Broken Bow,TUCKER,You planning to sit on the hull and pose for some postcards?
1,1,Broken Bow,ARCHER,"Maybe. God, she's beautiful."
1,1,Broken Bow,TUCKER,And fast. Warp four point five next Thursday.
1,1,Broken Bow,ARCHER,Neptune and back in six minutes. Let's take a look at the lateral sensor array.
1,1,Broken Bow,TUCKER,Give me a second.
1,1,Broken Bow,ARCHER,"Slow down. There, those are the ports that buckled during the last test. They need to be reinforced. Great, you scratched the paint."
1,1,Broken Bow,TUCKER,Sorry. Orbital six.
1,1,Broken Bow,CREWMAN,"Captain Archer, sir."
1,1,Broken Bow,ARCHER,Go ahead.
1,1,Broken Bow,CREWMAN,Admiral Forrest needs you at Starfleet Medical right away.
1,1,Broken Bow,WILLIAMS,Who was chasing him?
1,1,Broken Bow,SOVAL,"We don't know. They were incinerated in the methane explosion, and the farmer's description was vague at best."
1,1,Broken Bow,LEONARD,How did they get here? What kind of ship?
1,1,Broken Bow,TOS,They were using some kind of stealth technology. We're still analyzing our sensor logs.
1,1,Broken Bow,WILLIAMS,I'd like to see those logs.
1,1,Broken Bow,SOVAL,The Klingons made it very clear they want us to expedite this.
1,1,Broken Bow,LEONARD,It happened on our soil.
1,1,Broken Bow,TOS,That's irrelevant.
1,1,Broken Bow,FORREST,"Ambassador, with all due respect, we have a right to know what's going on here."
1,1,Broken Bow,SOVAL,You will be apprised of all pertinent information.
1,1,Broken Bow,WILLIAMS,And just who gets to decide what's pertinent information?
1,1,Broken Bow,ARCHER,Admiral.
1,1,Broken Bow,FORREST,Jon. I think you know everyone.
1,1,Broken Bow,ARCHER,Not everyone.
1,1,Broken Bow,LEONARD,It's a Klingot.
1,1,Broken Bow,TOS,A Klingon.
1,1,Broken Bow,ARCHER,Where'd he come from?
1,1,Broken Bow,WILLIAMS,Oklahoma.
1,1,Broken Bow,FORREST,A corn farmer named Moore shot him with a plasma rifle. Says it was self-defense.
1,1,Broken Bow,TOS,"Fortunately, Soval and I have maintained close contact with Kronos since the incident occurred."
1,1,Broken Bow,ARCHER,Kronos?
1,1,Broken Bow,LEONARD,It's the Klingon's homeworld.
1,1,Broken Bow,FORREST,This gentleman is some sort of a courier. Evidently he was carrying crucial information back to his people.
1,1,Broken Bow,SOVAL,"When he was nearly killed by your ""farmer."""
1,1,Broken Bow,FORREST,Ambassador Soval thinks it would be best if we push off your launch until we've cleared this up.
1,1,Broken Bow,ARCHER,"Well, isn't that a surprise. You'd think they'd have come up with something a little more imaginative this time."
1,1,Broken Bow,SOVAL,"Sarcasm aside, Captain, the last thing your people need is to make an enemy of the Klingon Empire."
1,1,Broken Bow,TOS,"If we hadn't convinced them to let us take Klaang's corpse back to Kronos, Earth would most likely be facing a squadron of Warbirds by the end of the week."
1,1,Broken Bow,ARCHER,Corpse? Is he dead?
1,1,Broken Bow,ARCHER,"Excuse me, is that man dead?"
1,1,Broken Bow,PHLOX,His autonomic system was disrupted by the blast but his redundant neural functions are
1,1,Broken Bow,ARCHER,Is he going to die?
1,1,Broken Bow,PHLOX,Not necessarily.
1,1,Broken Bow,ARCHER,Let me get this straight. You're going to diskonnect this man from life support even though he could live. Now where's the logic in that?
1,1,Broken Bow,SOVAL,Klaang's culture finds honor in death. If they saw him like this he'd be disgraced.
1,1,Broken Bow,TOS,They're a warrior race. They dream of dying in battle. If you understood the complexities of interstellar diplomacy
1,1,Broken Bow,ARCHER,"So that's your diplomatic solution, to do what they tell you. Pull the plug?"
1,1,Broken Bow,TOS,"Your metaphor is crude, but accurate."
1,1,Broken Bow,ARCHER,"We may be crude, but we're not murderers. You're not going to let them do this, are you?"
1,1,Broken Bow,SOVAL,The Klingons have demanded that we return Klaang immediately.
1,1,Broken Bow,ARCHER,Admiral.
1,1,Broken Bow,FORREST,We may need to defer to their judgment.
1,1,Broken Bow,ARCHER,We've been deferring to their judgment for a hundred years!
1,1,Broken Bow,FORREST,Jon.
1,1,Broken Bow,ARCHER,How much longer?
1,1,Broken Bow,T'POL,"Until you've proven you're ready,"
1,1,Broken Bow,ARCHER,Ready to what?
1,1,Broken Bow,T'POL,To look beyond your provincial attitudes and volatile nature.
1,1,Broken Bow,ARCHER,"Volatile? You have no idea how much I'm restraining myself from knocking you on your ass. These Klingons, they're anxious to get their man back. Fine. I can have my ship ready to go in three days. We'll take him back home, alive."
1,1,Broken Bow,SOVAL,This is no time to be imposing your ethical beliefs.
1,1,Broken Bow,FORREST,Dan?
1,1,Broken Bow,LEONARD,What about your crew? Your Comm. Officer's in Brazil. You haven't selected a Medical Officer yet.
1,1,Broken Bow,ARCHER,"Three days, that's all I need."
1,1,Broken Bow,SOVAL,Admiral.
1,1,Broken Bow,FORREST,"We've been waiting for nearly a century, Ambassador. This seems as good a time as any to get started."
1,1,Broken Bow,SOVAL,Listen to me. You're making a mistake!
1,1,Broken Bow,ARCHER,"When your logic doesn't work, you raise your voice? You've been on Earth too long."
1,1,Broken Bow,FORREST,I had a feeling their approach wouldn't sit too well with you. Don't screw this up.
1,1,Broken Bow,TRAVIS,I heard this platform's been approved for bio-transport.
1,1,Broken Bow,REED,I presume you mean fruits and vegetables.
