number,title,character,line
2,Star Trek II: The Wrath of Khan,SULU,Leaving Section Fourteen for Section Fifteen.
2,Star Trek II: The Wrath of Khan,SAAVIK,Stand by. Project parabolic course to avoid entering Neutral Zone.
2,Star Trek II: The Wrath of Khan,SULU,"Aye, Captain. ...Course change projected."
2,Star Trek II: The Wrath of Khan,UHURA,"Captain, ...I'm getting something on the distress channel."
2,Star Trek II: The Wrath of Khan,SAAVIK,On speakers!KOBAYASHI
2,Star Trek II: The Wrath of Khan,MARU VOICE,"Imperative! This is the Kobayashi Maru, ...nineteen periods out of Altair Six. We have struck a gravitic mine and have lost all power. ...Our hull is penetrated and we have sustained many casualties."
2,Star Trek II: The Wrath of Khan,UHURA,This is the Starship Enterprise. Your message is breaking up. Can you give your coordinates? Repeat. This is the Starship...
2,Star Trek II: The Wrath of Khan,KOBAYASHI MARU VOICE,"Enterprise, our position is Gamma Hydra, Section Ten."
2,Star Trek II: The Wrath of Khan,SAAVIK,In the Neutral Zone.
2,Star Trek II: The Wrath of Khan,KOBAYASHI MARU VOICE,"Hull penetrated, life support systems failing. Can you assist us, Enterprise? Can you assist us?"
2,Star Trek II: The Wrath of Khan,SAAVIK,Data on Kobayashi Maru!
2,Star Trek II: The Wrath of Khan,COMPUTER VOICE,"Subject vessel is third class neutronic fuel carrier, crew of eighty-one, three hundred passengers."
2,Star Trek II: The Wrath of Khan,SAAVIK,"Damn. Mister Sulu, plot an intercept course."
2,Star Trek II: The Wrath of Khan,SULU,May I remind the Captain that if a starship enters the Zone.
2,Star Trek II: The Wrath of Khan,SAAVIK,"I'm aware of my responsibilities, Mister"
2,Star Trek II: The Wrath of Khan,SULU,Estimating two minutes to intercept. ...Now entering the Neutral Zone.
2,Star Trek II: The Wrath of Khan,COMPUTER VOICE,Warning. We have entered the Neutral Zone. ...Warning.
2,Star Trek II: The Wrath of Khan,SPOCK,"We are now in violation of Treaty, Captain"
2,Star Trek II: The Wrath of Khan,SAAVIK,"Stand by transporter room, ready to beam survivors aboard."
2,Star Trek II: The Wrath of Khan,UHURA,"Captain, I've lost their signal!"
2,Star Trek II: The Wrath of Khan,COMPUTER VOICE,"Alert! Sensors indicate three Klingon Cruisers, bearing three one six, mark four, closing fast."
2,Star Trek II: The Wrath of Khan,SAAVIK,Visual! ...Battle stations! Activate shields!
2,Star Trek II: The Wrath of Khan,SULU,Shields activated!
