number,title,character,line
3,Star Trek III: The Search for Spock,SPOCK,"Don't grieve, Admiral, ...it is logical. The needs of the many ...outweigh..."
3,Star Trek III: The Search for Spock,KIRK,...the needs of the few.
3,Star Trek III: The Search for Spock,SPOCK,Or the one. I have been ...and always shall be ...your friend. ...Live long ...and prosper.
3,Star Trek III: The Search for Spock,KIRK,"We are assembled here today to pay final respects to our honored dead. This death takes place in the shadow of new life, the sunrise of a new world, a world that our beloved comrade gave his life to protect and nourish. He did not feel that sacrifice a vain or empty one. Of my friend, I can only say this. Of all the souls I have encountered in my travels, ...his was the most ...human."
3,Star Trek III: The Search for Spock,SULU,"Honors, ...hup! Spock's Voice: Space, the final frontier. ...These are the continuing voyages of the Starship Enterprise. ...Her ongoing mission, to explore strange new worlds. ...To seek out new lifeforms and new civilisations. ...To boldly go where no man has gone before. OPENING"
3,Star Trek III: The Search for Spock,KIRK,"Status, Mister Sulu?"
3,Star Trek III: The Search for Spock,SULU,"On course, Admiral. Estimating Spacedock in two point one hours."
3,Star Trek III: The Search for Spock,KIRK,"Very well, ...Mister Chekov, I'll need pre-approach scan. ...Take the science station, please."
3,Star Trek III: The Search for Spock,CHEKOV,Yes sir.
3,Star Trek III: The Search for Spock,KIRK,"Uhura, any response from Starfleet on our Project Genesis inquiries?"
3,Star Trek III: The Search for Spock,UHURA,"No sir, there is no response."
3,Star Trek III: The Search for Spock,KIRK,"That's very odd. ...Scotty, progress report?"
3,Star Trek III: The Search for Spock,SCOTT,"I'm almost done, sir. You'll be fully automated by the time we dock."
3,Star Trek III: The Search for Spock,KIRK,"Your timing is excellent, Mister Scott. You've fixed the barn door after the horse has come home. How much refit time till we can take her out of here?"
3,Star Trek III: The Search for Spock,SCOTT,"Eight weeks, sir. But you don't have eight weeks so I'll do it for ya in two."
3,Star Trek III: The Search for Spock,KIRK,Mister Scott. Have you always multiplied your repair estimates by a factor of four?
3,Star Trek III: The Search for Spock,SCOTT,"Certainly, sir. How else can I keep my reputation as a miracle worker?"
3,Star Trek III: The Search for Spock,KIRK,"Your reputation is secure, Scotty."
