number,title,character,line
6,Star Trek VI: The Undiscovered Country,SULU,According to this we've completed our exploration of the entire sector.
6,Star Trek VI: The Undiscovered Country,VALTANE,I have an energy wave from two hundred and forty degrees mark six port.
6,Star Trek VI: The Undiscovered Country,SULU,Visual! My ...God. ...Shields!
6,Star Trek VI: The Undiscovered Country,LOJUR,"Captain, she's not answering her helm."
6,Star Trek VI: The Undiscovered Country,SULU,Starboard thrusters. Turn her into the wave!
6,Star Trek VI: The Undiscovered Country,LOJUR,Aye.
6,Star Trek VI: The Undiscovered Country,SULU,Quarter impulse power! ...Damage report.
6,Star Trek VI: The Undiscovered Country,EXCELSIOR ENGINEER,"Checking all systems, Captain."
6,Star Trek VI: The Undiscovered Country,SULU,Don't tell me that was any meteor shower.
6,Star Trek VI: The Undiscovered Country,VALTANE,"Negative, sir. The subspace shockwave originated at bearing three two three, mark seven five. Location. It's Praxis, sir. It's a Klingon moon."
6,Star Trek VI: The Undiscovered Country,SULU,"Praxis is their key energy production facility. ...Send to Klingon High Command. 'This is Excelsior, a Federation starship. We have monitored a large explosion in your sector. Do you require assistance?'"
6,Star Trek VI: The Undiscovered Country,RAND,Aye sir.
6,Star Trek VI: The Undiscovered Country,SULU,"Mister Valtane, any more data?"
6,Star Trek VI: The Undiscovered Country,VALTANE,"Yes sir. I have confirmed the location of Praxis, sir, but..."
6,Star Trek VI: The Undiscovered Country,SULU,What is it?
6,Star Trek VI: The Undiscovered Country,VALTANE,I cannot confirm the existence of Praxis.
6,Star Trek VI: The Undiscovered Country,SULU,On screen! ...Magnify!
6,Star Trek VI: The Undiscovered Country,COMPUTER VOICE,Computer enhancement.
6,Star Trek VI: The Undiscovered Country,SULU,Praxis?
6,Star Trek VI: The Undiscovered Country,VALTANE,"What's left of it, sir."
6,Star Trek VI: The Undiscovered Country,RAND,"Captain, I'm getting a message from Praxis."
6,Star Trek VI: The Undiscovered Country,SULU,Let's have it.
6,Star Trek VI: The Undiscovered Country,KERLA,"This is Brigadier Kerla, speaking for the High Command. There has been an incident on Praxis. However everything is under control. We have no need for assistance. Obey treaty stipulations and remain outside the Neutral Zone. This transmission ends now."
6,Star Trek VI: The Undiscovered Country,SULU,An incident?
6,Star Trek VI: The Undiscovered Country,RAND,"Do we report this, sir?"
6,Star Trek VI: The Undiscovered Country,SULU,Are you kidding?
6,Star Trek VI: The Undiscovered Country,KIRK,What are we doing here?
6,Star Trek VI: The Undiscovered Country,MCCOY,Maybe they're throwing us a retirement party.
6,Star Trek VI: The Undiscovered Country,SCOTT,That suits me. I just bought a boat.
6,Star Trek VI: The Undiscovered Country,UHURA,This had better be good. I'm supposed to be chairing a seminar at the Academy.
6,Star Trek VI: The Undiscovered Country,CHEKOV,"Captain, isn't this just for top brass?"
6,Star Trek VI: The Undiscovered Country,MCCOY,"If we're all here, where's Sulu?"
6,Star Trek VI: The Undiscovered Country,KIRK,Captain Sulu. On assignment. Where's Spock?
6,Star Trek VI: The Undiscovered Country,AIDE-DE-CAMP,"This briefing is classified. Ladies and Gentlemen, the C-in-C."
6,Star Trek VI: The Undiscovered Country,C-IN-C,"As you were. To break this information down succinctly, the Klingon Empire has roughly fifty years of life left to it. For full details, I'm turning this briefing over to the Federation Special Envoy."
6,Star Trek VI: The Undiscovered Country,SPOCK,Good morning. Two months ago a Federation starship monitored an explosion on the Klingon moon Praxis. We believe it was caused by over-mining and insufficient safety precautions. The moon's decimation means a deadly pollution of their ozone. They will have depleted their supply of oxygen in approximately fifty Earth years.
6,Star Trek VI: The Undiscovered Country,ATTENDEE,That's not in any of the data I saw.
6,Star Trek VI: The Undiscovered Country,SPOCK,"Due to their enormous military budget, the Klingon economy does not have the resources with which to combat this catastrophe. Last month, at the behest of the Vulcan Ambassador I opened a dialogue with Gorkon, Chancellor of the Klingon High Council. He proposes to commence negotiations at once."
6,Star Trek VI: The Undiscovered Country,CARTWRIGHT,Negotiations for what?
6,Star Trek VI: The Undiscovered Country,SPOCK,"The dismantling of our space stations and starbases along the Neutral Zone, an end to almost seventy years of unremitting hostility, which the Klingons can no longer afford."
6,Star Trek VI: The Undiscovered Country,MILITARY AIDE,"Bill, are we talking about mothballing the Starfleet?"
6,Star Trek VI: The Undiscovered Country,C-IN-C,"Well, I'm sure that our exploration and scientific programs would be unaffected, Captain, but..."
6,Star Trek VI: The Undiscovered Country,CARTWRIGHT,"I must protest. To offer the Klingons safe haven within Federation space is suicide. Klingons would become the alien trash of the galaxy. And if we dismantle the fleet, we'd be defenseless before an aggressive species with a foothold on our territory. The opportunity here is to bring them to their knees. Then we'll be in a far better position to dictate terms."
6,Star Trek VI: The Undiscovered Country,KIRK,Sir!
6,Star Trek VI: The Undiscovered Country,C-IN-C,Captain Kirk?
6,Star Trek VI: The Undiscovered Country,KIRK,The Klingons have never been trustworthy. I'm forced to agree with Admiral Cartwright. This is a terrifying idea.
6,Star Trek VI: The Undiscovered Country,SPOCK,"It is imperative that we act now to support the Gorkon initiative, lest more conservative elements persuade his Empire that it is better to attempt a military solution and die fighting."
6,Star Trek VI: The Undiscovered Country,C-IN-C,"You, Captain Kirk, are to be our first olive branch."
6,Star Trek VI: The Undiscovered Country,SPOCK,"We have volunteered to rendezvous with the Klingon vessel which is bringing Chancellor Gorkon to Earth, and to escort him safely through Federation space."
6,Star Trek VI: The Undiscovered Country,KIRK,Me?
6,Star Trek VI: The Undiscovered Country,C-IN-C,"Well, there are Klingons who feel the same way about the peace treaty as yourself and Admiral Cartwright. But they'll think twice about attacking the Enterprise under your command."
6,Star Trek VI: The Undiscovered Country,SPOCK,"I have personally vouched for you in this matter, Captain."
6,Star Trek VI: The Undiscovered Country,KIRK,You ...have personally ...vouched?
6,Star Trek VI: The Undiscovered Country,C-IN-C,"You will extend Chancellor Gorkon full diplomatic courtesy, Captain Kirk."
6,Star Trek VI: The Undiscovered Country,KIRK,But a full Ambassador would be better equipped... C in
6,Star Trek VI: The Undiscovered Country,C-IN-C,If there's no further business ...I wish you and your crew Godspeed. Thank you ladies and gentlemen. ...I remind you this meeting is classified.
