number,title,character,line
7,Star Trek Generations,JOURNALIST #3,"Captain Kirk, how does it feel to be back on the Enterprise Bridge? ...Can I ask you a few questions? ...We'd like to know how you feel how you're going..."
7,Star Trek Generations,HARRIMAN,"Excuse me, excuse me, excuse me. There will be plenty of time for questions later. I'm Captain John Harriman and I'd like to welcome you all aboard."
7,Star Trek Generations,KIRK,It's our pleasure.
7,Star Trek Generations,HARRIMAN,I just want you to know how excited we all are to have a group of living legends with us on our maiden voyage. ...I remember reading about your missions when I was in grade school.
7,Star Trek Generations,KIRK,"Oh, really. Well, ...may we have a look around?"
7,Star Trek Generations,HARRIMAN,"Please, ...please."
7,Star Trek Generations,CHEKOV,Demora!
7,Star Trek Generations,JOURNALIST #1,"Captain, ...this is the first Starship Enterprise in thirty years without James T. Kirk in command. How do you feel about that, sir?"
7,Star Trek Generations,KIRK,Oh just fine. I'm glad to be here to send her on her way.
7,Star Trek Generations,JOURNALIST #3,And what have you been doing since you retired?
7,Star Trek Generations,KIRK,Keeping busy.
7,Star Trek Generations,JOURNALIST #3,Captain Kirk...
7,Star Trek Generations,HARRIMAN,Why don't we give the Captain a chance to look around?
7,Star Trek Generations,CHEKOV,Captain. ... Excuse me. ...I'd like you to meet the helmsman of the Enterprise-B. Demora. ...Ensign Demora Sulu.
7,Star Trek Generations,DEMORA,"It's a pleasure to meet you, sir. My father's told me some ...interesting stories about you."
7,Star Trek Generations,KIRK,Your father is Hikaru Sulu?
7,Star Trek Generations,DEMORA,Yes sir.
7,Star Trek Generations,CHEKOV,"Oh, you've met her before, when she was..."
7,Star Trek Generations,KIRK,It wasn't so long ago. ...It couldn't have been more than....
7,Star Trek Generations,CHEKOV,"Twelve years, sir."
7,Star Trek Generations,KIRK,Twelve years?
7,Star Trek Generations,CHEKOV,Absolutely.
7,Star Trek Generations,KIRK,"Incredible. Congratulations, Ensign. It wouldn't be the Enterprise without a Sulu at the helm."
7,Star Trek Generations,DEMORA,"Thank you, sir."
7,Star Trek Generations,CHEKOV,I'm sure Hikaru must be very proud of you.
7,Star Trek Generations,DEMORA,I hope so.
7,Star Trek Generations,CHEKOV,I was never that young.
7,Star Trek Generations,KIRK,"No, ...you were younger!"
7,Star Trek Generations,SCOTT,Damn fine ship if you ask me.
7,Star Trek Generations,KIRK,"Scotty, ...it absolutely amazes me."
7,Star Trek Generations,SCOTT,"What would that be, sir?"
7,Star Trek Generations,KIRK,Sulu. When did he find the time to have family?
7,Star Trek Generations,SCOTT,"Well like you always say, if something's important, you'll make the time."
7,Star Trek Generations,SCOTT,"Ah, so that's why you seem so restless. Finding retirement a little lonely, are we?"
7,Star Trek Generations,KIRK,"You know, I'm glad you're an engineer. With a tact like that you'd make a lousy psychiatrist."
7,Star Trek Generations,SCOTT,"Ha, ha, ha..."
7,Star Trek Generations,HARRIMAN,"Excuse me, gentlemen, ...if you'll take your seats."
7,Star Trek Generations,KIRK,"Yes, of course."
7,Star Trek Generations,HARRIMAN,"Prepare to leave Spacedock. Aft thrusters ahead one-quarter, port and starboard at station keeping. ...Captain Kirk, I'd be honored if you'd give the order to get underway."
7,Star Trek Generations,KIRK,Thank you very much. I...
7,Star Trek Generations,HARRIMAN,"Please, sir."
7,Star Trek Generations,KIRK,No.
7,Star Trek Generations,HARRIMAN,"Please, I insist."
7,Star Trek Generations,KIRK,Take us out.
7,Star Trek Generations,CHEKOV,"Very good, sir."
7,Star Trek Generations,SCOTT,Brought a tear to my eye.
7,Star Trek Generations,KIRK,"Oh, be quiet."
7,Star Trek Generations,JOURNALIST #1,"Gentlemen! Gentlemen! Tell me. Now that you've seen the rest of the ship, How's it feel to be back? KIRK/SCOTT/"
7,Star Trek Generations,CHEKOV,Fine. Fine. Fine.
7,Star Trek Generations,HARRIMAN,"Ladies and gentlemen, we've just cleared the asteroid belt. Our course today will take us out past Pluto and then back to Spacedock. Just a quick run around the block."
7,Star Trek Generations,CONN OFFICER,"Captain, will there be time to conduct any tests on the warp drive system?"
7,Star Trek Generations,COMMUNICATIONS OFFICER,"We're picking up a distress call, Captain."
7,Star Trek Generations,HARRIMAN,On... On speakers.
7,Star Trek Generations,COMM VOICE,This is the transport ship Lakul. We're caught in some kind of energy distortion. Two ships in our convoy. ...We're trapped in a severe gravimetric distortion. We can't break free. We need immediate help. It' tearing us apart. This is the trans...
7,Star Trek Generations,SCIENCE OFFICER,The Lakul is one of two ships transporting El-Aurian refugees to Earth.
7,Star Trek Generations,HARRIMAN,"Ensign Sulu, can you locate them?"
7,Star Trek Generations,DEMORA,"The ships are bearing at three one zero mark two one five. Distance, three light years."
7,Star Trek Generations,HARRIMAN,Signal the closest starship. We're in no condition to mount a rescue. ...We don't even have a full crew aboard.
7,Star Trek Generations,NAVIGATOR,"We're the only one in range, sir."
7,Star Trek Generations,HARRIMAN,"...Well, then, ...I guess it's up to us. Helm, lay in an intercept course and engage at maximum warp."
7,Star Trek Generations,DEMORA,Aye sir.
7,Star Trek Generations,SCOTT,"Captain, is there something wrong with your chair?"
7,Star Trek Generations,DEMORA,"We're within visual range of the energy distortion, Captain."
7,Star Trek Generations,HARRIMAN,On screen.
7,Star Trek Generations,CHEKOV,What the hell is that?
7,Star Trek Generations,DEMORA,I've located the transport ships. ...Their hulls are starting to buckle under the stress. ...They won't survive much longer.
7,Star Trek Generations,LIEUTENANT,"We're encountering severe gravimetric distortions from the energy ribbon, Captain."
7,Star Trek Generations,HARRIMAN,We'll have to keep our distance. We don't want to get pulled in too.
7,Star Trek Generations,KIRK,Tractor beam! Tractor beam.
7,Star Trek Generations,HARRIMAN,We don't have a tractor beam.
7,Star Trek Generations,KIRK,You left Spacedock without a tractor beam?
7,Star Trek Generations,HARRIMAN,"It won't be installled until Tuesday. ...Ensign Sulu, try generating a subspace field around the ships. That might break them free."
7,Star Trek Generations,DEMORA,"There's too much quantum interference, Captain."
7,Star Trek Generations,HARRIMAN,What about... What about venting plasma from the warp nacelles? That might disrupt the ribbon's hold on the ships.
7,Star Trek Generations,NAVIGATOR,"Aye sir. ...Releasing drive-plasma. ...It's not having any effect, sir. I think the ribbon's hold..."
7,Star Trek Generations,DEMORA,Sir! The starboard vessel's hull is collapsing...
7,Star Trek Generations,CHEKOV,How many people were aboard that ship?
7,Star Trek Generations,DEMORA,Two hundred sixty-five.
7,Star Trek Generations,SCIENCE OFFICER,"Sir, the Lakul's hull integrity is down to twelve percent."
7,Star Trek Generations,HARRIMAN,"Captain Kirk, ...I would appreciate any suggestions you might have."
7,Star Trek Generations,KIRK,First ...move us within transporter range and beam those people aboard the Enterprise.
7,Star Trek Generations,HARRIMAN,What about the gravimetric distortions? They'll tear us apart.
7,Star Trek Generations,KIRK,Risk is part of the game if you want to sit in that chair.
7,Star Trek Generations,HARRIMAN,"Helm, close to within transporter range."
7,Star Trek Generations,KIRK,"And second, ...turn that damned thing off."
7,Star Trek Generations,DEMORA,"We're within range, sir."
7,Star Trek Generations,HARRIMAN,Beam them directly to Sickbay.
7,Star Trek Generations,LIEUTENANT,Aye sir.
7,Star Trek Generations,CHEKOV,How big is your medical staff?
7,Star Trek Generations,HARRIMAN,The medical staff ...doesn't arrive 'til Tuesday.
7,Star Trek Generations,CHEKOV,You and you and you. You've just become nurses. Let's go.
7,Star Trek Generations,DEMORA,Main engineering reports fluctuations in the warp plasma relays.
7,Star Trek Generations,LIEUTENANT,"Sir, I'm having trouble locking onto them. They appear to be ...in some sort of temporal flux."
7,Star Trek Generations,KIRK,Scotty?
7,Star Trek Generations,SCOTT,What the hell.
7,Star Trek Generations,SCOTT,Their life signs are ...are phasing in and out of our space-time continuum.
7,Star Trek Generations,KIRK,Phasing? To where?
7,Star Trek Generations,NAVIGATOR,Sir! Their hull's collapsing!
7,Star Trek Generations,KIRK,"Beam them out of there, Scotty!"
7,Star Trek Generations,SCOTT,Transport complete. ...I got forty-seven ...out of one hundred fifty.
7,Star Trek Generations,KIRK,Report!
7,Star Trek Generations,SCIENCE OFFICER,We're caught in a gravimetric field emanating from the trailing edge of the ribbon.
7,Star Trek Generations,HARRIMAN,"All engines, full reverse!"
7,Star Trek Generations,CHEKOV,You're going to be all right. We are going to help you. We are going to help you.
7,Star Trek Generations,JOURNALIST #2,It's okay. Everything is fine.
7,Star Trek Generations,SORAN,Why? ...Why?
7,Star Trek Generations,JOURNALIST #2,It's all right. You're safe. You're on the Enterprise.
7,Star Trek Generations,SORAN,"No. No, I have to go. I have to go back."
7,Star Trek Generations,JOURNALIST #2,You have to stay right here.
7,Star Trek Generations,SORAN,"You don't understand! Let me go back! Let me go back! ...Let me go back! Let me go back, please!"
7,Star Trek Generations,JOURNALIST #3,What was he talking about?
7,Star Trek Generations,JOURNALIST #2,I have no idea.
7,Star Trek Generations,CHEKOV,Can I help you?
7,Star Trek Generations,GUINAN,It's going to be okay.
7,Star Trek Generations,CHEKOV,You'll be all right. You just need to rest. Come over here.
7,Star Trek Generations,SCOTT,There's just no way to disrupt a gravimetric field of this magnitude!
7,Star Trek Generations,LIEUTENANT,Hull integrity at eighty-two percent.
7,Star Trek Generations,SCOTT,But I do have a theory.
7,Star Trek Generations,KIRK,I thought you might.
7,Star Trek Generations,SCOTT,An anti-matter diskharge directly ahead might disrupt the field long enough for us to break away.
7,Star Trek Generations,KIRK,Photon torpedo?
7,Star Trek Generations,SCOTT,Aye sir.
7,Star Trek Generations,SCIENCE OFFICER,We're losing main power.
7,Star Trek Generations,KIRK,"Load torpedo bays, prepare to fire on my command."
7,Star Trek Generations,DEMORA,"Captain, ...we don't have any torpedoes."
7,Star Trek Generations,KIRK,Don't tell me. ...Tuesday.
7,Star Trek Generations,LIEUTENANT,Hull integrity at forty percent.
7,Star Trek Generations,SCOTT,"Captain, it may be possible to simulate a torpedo blast using a resonance burst from the main deflector dish."
7,Star Trek Generations,KIRK,Where are the deflector relays?
7,Star Trek Generations,DEMORA,"Deck fifteen, section twenty-one alpha."
7,Star Trek Generations,HARRIMAN,I'll go. You have the bridge.
7,Star Trek Generations,KIRK,Wait! Your place is on the bridge of your ship. ...I'll take care of it.
7,Star Trek Generations,KIRK,Scotty! Keep things together until I get back.
7,Star Trek Generations,SCOTT,I always do. LIEUTENANT Forty-five seconds to structural collapse!
7,Star Trek Generations,SCOTT,Bridge to Captain Kirk.
7,Star Trek Generations,KIRK,Kirk here.
7,Star Trek Generations,SCOTT,I don't know how much longer I can hold her together!
7,Star Trek Generations,KIRK,That's it. Let's go!
7,Star Trek Generations,HARRIMAN,Activate main deflector.
7,Star Trek Generations,SCOTT,We're breaking free.
7,Star Trek Generations,DEMORA,It's all right. I'm increasing power to compensate. ...We're clear.
7,Star Trek Generations,HARRIMAN,"You did it, Kirk! Damage report, Ensign."
7,Star Trek Generations,DEMORA,There's some buckling on the starboard nacelle. ...And we've also got a hull breach in engineering section. Emergency forcefields in place and holding.
7,Star Trek Generations,SCOTT,Where?
7,Star Trek Generations,DEMORA,"Sections twenty through twenty-eight on decks thirteen, fourteen ...and fifteen."
7,Star Trek Generations,SCOTT,"Bridge to Captain Kirk. ...Captain Kirk, please respond. ...Have Chekov meet me on deck fifteen."
7,Star Trek Generations,CHEKOV,My God... Was anyone in there?
7,Star Trek Generations,SCOTT,Aye. 78 Years Later
7,Star Trek Generations,RIKER,Bring out the prisoner!
