number,title,character,line
9,Star Trek: Insurrection,BA'KU CHILD,There he is. Let's get him.
9,Star Trek: Insurrection,SO'NA COMM VOICE,Area seven to command.
9,Star Trek: Insurrection,STARFLEET OFFICER #1,Go ahead.
9,Star Trek: Insurrection,SO'NA COMM VOICE,"We could use another survey team out here, sir."
9,Star Trek: Insurrection,STARFLEET OFFICER #1,"Base to Ensign McCauley and Ensign Gilles, please report to area seven and assist the edaphology team. McCAULEY/"
9,Star Trek: Insurrection,GILLES,Acknowledged.
9,Star Trek: Insurrection,GALLATIN,Admiral Dougherty is waiting for this. Transmit it to the ship.
9,Star Trek: Insurrection,SO'NA COMM VOICE,"Alert, area twelve!"
9,Star Trek: Insurrection,SO'NA COMM VOICE,The android! He's out of control.
9,Star Trek: Insurrection,GALLATIN,Report.
9,Star Trek: Insurrection,SO'NA COMM VOICE,He's headed towards the village. We're trying to stop him.
9,Star Trek: Insurrection,STARFLEET OFFICER,Over there!
9,Star Trek: Insurrection,GALLATIN,Magnify. ...Hold your fire.
9,Star Trek: Insurrection,ANIJ,What is it? What's happening?
9,Star Trek: Insurrection,CURTIS,Base to Commander Data.
9,Star Trek: Insurrection,DATA,Rerouting ...micro hydraulic power distribution. ...Regulating thermal overload.
9,Star Trek: Insurrection,CURTIS,Data! Report to base immediately!
9,Star Trek: Insurrection,DATA,Transferring positronic matrix functions. ...Engaging secondary protocols.
9,Star Trek: Insurrection,STARFLEET,He's starting to remove the headpiece.
9,Star Trek: Insurrection,GALLATIN,All field units. Intercept the android.
9,Star Trek: Insurrection,SOJEF,"Artim, it's all right."
9,Star Trek: Insurrection,SOJEF,Get inside. Now!
9,Star Trek: Insurrection,SOJEF,Mind yourself there. Everyone get inside. Now! Back to your homes. ...Move it! Now! Move!
9,Star Trek: Insurrection,DATA,Secondary protocol is active.
9,Star Trek: Insurrection,STARFLEET OFFICER,They can see him.
9,Star Trek: Insurrection,GALLATIN,Stop him. Now!
9,Star Trek: Insurrection,CURTIS,"Commander Data, stand down. That's an order. I repeat, stand down!"
9,Star Trek: Insurrection,ANIJ,Who are they?
9,Star Trek: Insurrection,TROI,"It's an M-class planet, population three hundred million."
9,Star Trek: Insurrection,PICARD,Say the greeting again.
9,Star Trek: Insurrection,TROI,"Yew-cheen chef-faw, ...emphasis on the 'cheen' and the 'faw'."
9,Star Trek: Insurrection,CRUSHER,You either need a new uniform or a new neck.
9,Star Trek: Insurrection,PICARD,Yew-cheen chef-faw. My collar size is exactly as it was at the Academy.
9,Star Trek: Insurrection,CRUSHER,Of course it is.
9,Star Trek: Insurrection,RIKER,Our guests have arrived. They are eating the floral arrangements on the banquet table.
9,Star Trek: Insurrection,CRUSHER,I guess they don't believe in cocktails before dinner.
9,Star Trek: Insurrection,TROI,"Oh, my God, are they vegetarians? That's not in here."
