number,title,character,line
10,Star Trek Nemesis,SURAN,"Senators, consider the opportunities for the Empire. At last the destinies of the planets, Romulus and Remus, will be united. Shinzon of Remus is offering us a chance to make ourselves stronger..."
10,Star Trek Nemesis,SURAN,...than ever before. It would be madness to resist it. I beg you to not let prejudice or politics interfere with this alliance. By joining Shinzon's forces with ours not even the Federation will be able to stand in our way.
10,Star Trek Nemesis,HIREN,That's enough! The decision has been made. The military does not dictate policy on Romulus.
10,Star Trek Nemesis,HIREN,The Senate has considered Shinzon's proposal and rejected it. He and his followers will be met with all deliberate force and sent back to that black rock they come from. Do I make myself clear!
10,Star Trek Nemesis,COMMANDER #2,Yes sir.
10,Star Trek Nemesis,TAL'AURA,"If you will excuse me, Praetor, I have an appointment with the Tholian ambassador."
10,Star Trek Nemesis,HIREN,"Of course. ...Senators, are there any others who wish to speak? ...Then I call for a vote on the motion to open trade negotiations with Celles Two."
10,Star Trek Nemesis,HIREN,As you know the Reman mines have not been filling their quotas for months now. I hope you will all bear in mind the trade committee's findings.
10,Star Trek Nemesis,HIREN,As much as we don't want...
10,Star Trek Nemesis,HIREN,Would someone alert security? Bring back Senator Tal'aura.
10,Star Trek Nemesis,PICARD,"Duty. ...A starship captain's life is filled with solemn duty. I have commanded men in battle. I have negotiated peace treaties between implacable enemies. I have represented the Federation in first contact with twenty-seven alien species, but none of this compares to my solemn duty today ...as best man. Now, I know that on an occasion such as this it is expected that I be gracious and fulsome in my praise on the wonders of this blessed union. But have you two considered what you are doing to me? Of course you're happy, but what about my needs? This is all a damned inconvenience, and while you're happily settling in on the Titan, I will be training my new first officer. You all know him. He's a tyrannical martinet who'll never, ever allow me to go on away missions!"
10,Star Trek Nemesis,DATA,"That is the regulation, sir. Starfleet Code. Section twelve. Paragraph four..."
10,Star Trek Nemesis,PICARD,Data!
10,Star Trek Nemesis,DATA,Sir?
10,Star Trek Nemesis,PICARD,Shut up.
10,Star Trek Nemesis,DATA,Yes sir.
10,Star Trek Nemesis,PICARD,Fifteen years I've been waiting to say that!
