season,episode,title,character,line
1,1,"More Tribbles, More Troubles",KIRK,"Captain's log, stardate 5392.4. The Enterprise has been assigned to escort two robot grain ships to Sherman's Planet, which has been struck by crop failures and famine. This shipment of seed grain, quintrotriticale, is necessary to the survival of the colonists. We are breaking course to Sherman's Planet to investigate what appears to be a Klingon battle cruiser pursuing some kind of smaller ship. Observation may confirm a rumor that the Klingons have a new weapon, type so far unknown."
1,1,"More Tribbles, More Troubles",SULU,"Captain, it is a Klingon ship. Rapidly closing on its target."
1,1,"More Tribbles, More Troubles",SPOCK,Sensors indicate the smaller vessel is a one-man scout ship of common design.
1,1,"More Tribbles, More Troubles",SULU,They're firing on him.
1,1,"More Tribbles, More Troubles",KIRK,"Klingon battle cruiser, identify yourself. Ahead, warp factor six. Scotty, lock the transporter on that small vessel. We're going to rescue that pilot."
1,1,"More Tribbles, More Troubles",SCOTT,"Aye, aye, Captain."
1,1,"More Tribbles, More Troubles",SCOTT,Locking on.
1,1,"More Tribbles, More Troubles",KIRK,"Open hailing frequencies. Klingon battle cruiser, identify yourself. You are violating Federation space. Identify yourself. Stop firing on scout ship."
1,1,"More Tribbles, More Troubles",KIRK,Arm all phasers. Deflector shields up.
1,1,"More Tribbles, More Troubles",SULU,Phasers armed. Shields up.
1,1,"More Tribbles, More Troubles",KIRK,"Ahead warp factor eight. Klingon battle cruiser, identify yourself."
1,1,"More Tribbles, More Troubles",SULU,They got him.
1,1,"More Tribbles, More Troubles",KIRK,"Scotty, have you got that pilot yet?"
1,1,"More Tribbles, More Troubles",SCOTT,"I don't know, sir."
1,1,"More Tribbles, More Troubles",SCOTT,That Klingon . That blast decalibrated the integration parameters.
1,1,"More Tribbles, More Troubles",SULU,Captain. (The Klingon ship is coming straight for them. Red Alert sounds. A wibbly energy field is fired at Enterprise)
1,1,"More Tribbles, More Troubles",KIRK,The new weapon. Spock?
1,1,"More Tribbles, More Troubles",SPOCK,"Some kind of field effect, Captain. It will hit us in precisely four seconds. It produces a most remarkable disruption."
1,1,"More Tribbles, More Troubles",SCOTT,"Now, what"
1,1,"More Tribbles, More Troubles",SULU,Our engines are dead.
1,1,"More Tribbles, More Troubles",SPOCK,"Captain, we have been hit by a kind of projected stasis field. Our matter-antimatter generators are disabled. We are paralyzed."
1,1,"More Tribbles, More Troubles",KIRK,Fire phasers.
1,1,"More Tribbles, More Troubles",SULU,"The phasers don't work, sir."
1,1,"More Tribbles, More Troubles",SPOCK,"The photon torpedoes will not respond, either. The stasis field disables all higher-order field and warp functions."
1,1,"More Tribbles, More Troubles",UHURA,"Well, we could always throw rocks."
1,1,"More Tribbles, More Troubles",SPOCK,This new Klingon weapon must be one of surprising power if it can immobilize a starship. The energy drain on the Klingon ship would be enormous.
1,1,"More Tribbles, More Troubles",KIRK,"Scotty, did you get that pilot?"
1,1,"More Tribbles, More Troubles",SCOTT,"I got him in the beam, sir."
1,1,"More Tribbles, More Troubles",SCOTT,But I can't integrate him. The system's been diskoordinated.
1,1,"More Tribbles, More Troubles",UHURA,"Captain, I have a message coming in, sir."
1,1,"More Tribbles, More Troubles",KIRK,Put it on the viewscreen.
1,1,"More Tribbles, More Troubles",KOLOTH,"Ah, Captain Kirk."
1,1,"More Tribbles, More Troubles",KIRK,Release my ship.
1,1,"More Tribbles, More Troubles",KOLOTH,"I'd be delighted to, Captain Kirk, if you will turn over the pilot of the little ship."
1,1,"More Tribbles, More Troubles",KIRK,That ship was a Federation-built craft. The pilot is under our protection.
