season,episode,title,character,line
1,1,The Cage,SPOCK,Check the circuit.
1,1,The Cage,TYLER,"All operating, sir."
1,1,The Cage,SPOCK,"It can't be the screen then. Definitely something out there, Captain, headed this way."
1,1,The Cage,TYLER,It could be these meteorites.
1,1,The Cage,ONE,"No, it's something else. There's still something out there."
1,1,The Cage,TYLER,"It's coming at the speed of light, collision course. The meteorite beam has not deflected it, Captain."
1,1,The Cage,ONE,"Evasive maneuvers, sir?"
1,1,The Cage,PIKE,Steady as we go.
1,1,The Cage,GARISON,"It's a radio wave, sir. We're passing through an old-style distress signal."
1,1,The Cage,PIKE,They were keyed to cause interference and attract attention this way.
1,1,The Cage,GARISON,"A ship in trouble making a forced landing, sir. That's it. No other message."
1,1,The Cage,TYLER,I have a fix. It comes from the Talos star group.
1,1,The Cage,ONE,We've no ships or Earth colonies that far out.
1,1,The Cage,SPOCK,Their call letters check with a survey expedition. SS Columbia. It disappeared in that region approximately eighteen years ago.
1,1,The Cage,TYLER,It would take that long for a radio beam to travel from there to here.
1,1,The Cage,SPOCK,"Records show the Talos group has never been explored. Solar system similar to Earth, eleven planets. Number four seems to be Class M, oxygen atmosphere."
1,1,The Cage,ONE,"Then they could still be alive, even after eighteen years."
1,1,The Cage,PIKE,If they survived the crash.
1,1,The Cage,SPOCK,"We aren't going to go, to be certain?"
1,1,The Cage,PIKE,"Not without any indication of survivors, no. Continue to the Vega Colony and take care of our own sick and injured first. You have the helm. Maintain present course."
1,1,The Cage,ONE,"Yes, sir."
1,1,The Cage,PIKE,"Drop by my cabin, Doctor. What's that? I didn't say there's anything wrong with me."
1,1,The Cage,BOYCE,I understand we picked up a distress signal.
1,1,The Cage,PIKE,"That's right. Unless we get anything more positive on it, it seems to me the condition of our own crew takes precedent. I'd like to log the ship's doctor's opinion, too."
1,1,The Cage,BOYCE,"Oh, I concur with yours, definitely."
1,1,The Cage,PIKE,"Good. I'm glad you do, because we're going to stop first at the Vega Colony and replace anybody who needs hospitalization and also. What the devil are you putting in there, ice?"
1,1,The Cage,BOYCE,Who wants a warm martini?
1,1,The Cage,PIKE,What makes you think I need one?
1,1,The Cage,BOYCE,"Sometimes a man'll tell his bartender things he'll never tell his doctor. What's been on your mind, Chris, the fight on Rigel Seven?"
