season,episode,title,character,line
1,1,Caretaker,CHAKOTAY,Damage report.
1,1,Caretaker,TUVOK,Shields at sixty percent.
1,1,Caretaker,TORRES,A fuel line has ruptured. Attempting to compensate. Damn it! We're barely maintaining impulse. I can't get any more out of it.
1,1,Caretaker,CHAKOTAY,Be creative!
1,1,Caretaker,TORRES,How am I supposed to be creative with a thirty nine year old rebuilt engine?
1,1,Caretaker,GUL EVEK,"Maquis ship, this is Gul Evek of the Cardassian Fourth Order. Cut your engines and prepare to surrender or we will d"
1,1,Caretaker,CHAKOTAY,Initiating evasive pattern omega. Mark.
1,1,Caretaker,TUVOK,Shields at fifty percent.
1,1,Caretaker,CHAKOTAY,I need more power if we're going to make it to the Badlands.
1,1,Caretaker,TORRES,Take the weapons offline. We'll transfer all power to the engines.
1,1,Caretaker,TUVOK,"Considering the circumstances, I question that proposal at this time."
1,1,Caretaker,TORRES,What does it matter? We're not making a dent in their shields anyway! You wanted creative.
1,1,Caretaker,CHAKOTAY,"Tuvok, shut down all the phaser banks. If you can give me another thirty seconds at full impulse, I'll get us into the Badlands."
1,1,Caretaker,TUVOK,Phasers offline.
1,1,Caretaker,CHAKOTAY,Throw the last photons at them and then give me the power from the torpedo system.
1,1,Caretaker,TUVOK,Acknowledged. Firing photons.
1,1,Caretaker,CHAKOTAY,Are you reading any plasma storms ahead?
1,1,Caretaker,TUVOK,"One. Co-ordinates one seven one, mark four three."
1,1,Caretaker,CHAKOTAY,That's where I'm going.
1,1,Caretaker,TUVOK,Plasma storm density increasing by fourteen percent. Twenty. Twenty five.
1,1,Caretaker,CHAKOTAY,Hold on!
1,1,Caretaker,TUVOK,The Cardassian ship is not reducing power. They're following us in.
1,1,Caretaker,CHAKOTAY,Gul Evek must feel daring today.
1,1,Caretaker,TUVOK,They've taken a hit on their port blade. They're sending out a distress signal on all Cardassian frequencies.
1,1,Caretaker,CHAKOTAY,"Can you plot a course through these plasma fields, Mister Tuvok?"
1,1,Caretaker,TUVOK,"The storm's activity is typically widespread in this vicinity. I can plot a course, but I'm afraid it will require an indirect route."
1,1,Caretaker,CHAKOTAY,We can use a time to make some repairs. What was that?
1,1,Caretaker,TUVOK,Curious. We've just passed through some kind of coherent tetryon beam.
1,1,Caretaker,CHAKOTAY,Source?
1,1,Caretaker,TUVOK,Unknown. Now there appears to be a massive displacement wave moving toward us.
1,1,Caretaker,CHAKOTAY,Another storm?
1,1,Caretaker,TUVOK,"It's not a plasma phenomenon. At current speeds, it will intercept us in less than thirty seconds."
1,1,Caretaker,CHAKOTAY,"Anything left in those impulse generators, B'Elanna?"
1,1,Caretaker,TORRES,We'll find out.
1,1,Caretaker,TUVOK,Still exceeding our speed.
1,1,Caretaker,CHAKOTAY,Maximum power.
1,1,Caretaker,TUVOK,Wave is continuing to accelerate. It will intercept us in eight seconds. Five.
1,1,Caretaker,JANEWAY,Tom Paris? Kathryn Janeway. I served with your father on the Al-Batani. I wonder if we could go somewhere and talk.
1,1,Caretaker,PARIS,About what?
1,1,Caretaker,JANEWAY,About a job we'd like you to do for us.
1,1,Caretaker,PARIS,I'm already doing a job for the Federation.
1,1,Caretaker,JANEWAY,I've been told the Rehab Commission is very pleased with your work. They've given me their approval to discuss this matter with you.
1,1,Caretaker,PARIS,"Well then, I guess I'm yours."
1,1,Caretaker,JANEWAY,Your father taught me a great deal. I was his science officer during the Orias expedition.
1,1,Caretaker,PARIS,You must be good. My father only accepts the best and the brightest.
1,1,Caretaker,JANEWAY,I'm leaving on a mission to find a Maquis ship that disappeared in the Badlands a week ago.
1,1,Caretaker,PARIS,I wouldn't if I were you.
1,1,Caretaker,JANEWAY,Really?
1,1,Caretaker,PARIS,I've never seen a Federation starship that could maneuver through the plasma storms.
1,1,Caretaker,JANEWAY,You've never seen Voyager. We'd like you to come along.
1,1,Caretaker,PARIS,"You'd like me to lead you to my former colleagues. I was only with the Maquis a few weeks before I was captured, Captain. I don't know where most of their hiding places are."
1,1,Caretaker,JANEWAY,You know the territory better than anyone we've got.
1,1,Caretaker,PARIS,What's so important about this particular Maquis ship?
1,1,Caretaker,JANEWAY,"My Chief of Security was on board, undercover. He was supposed to report in twice during the last six days. He didn't."
1,1,Caretaker,PARIS,Maybe it's just your Chief of Security who's disappeared.
1,1,Caretaker,JANEWAY,"Maybe. That ship was under the command of another former Starfleet officer, named Chakotay. I understand you knew him."
1,1,Caretaker,PARIS,That's right.
1,1,Caretaker,JANEWAY,"The two of you didn't get along too well, I'm told."
1,1,Caretaker,PARIS,"Chakotay will tell you he left Starfleet on principle, to defend his home colony from the Cardassians. I, on the other hand, was forced to resign. He considered me a mercenary, willing to fight for anyone who'd pay my bar bill. Trouble is, he was right. I have no problem helping you track down my friends in the Maquis, Captain. All I need to know from you is what's in it for me."
1,1,Caretaker,JANEWAY,"You help us find that ship, we help you at your next outmeet review."
1,1,Caretaker,PARIS,Ah ha.
1,1,Caretaker,JANEWAY,"Officially, you'd be a Starfleet observer during the mission."
1,1,Caretaker,PARIS,"Observer? Oh hell, I'm the best pilot you could have."
1,1,Caretaker,JANEWAY,"You'll be an observer. When it's over, you're cut loose."
1,1,Caretaker,PARIS,The story of my life.
1,1,Caretaker,PARIS,"Stadi, you're changing my mind about Betazoids."
1,1,Caretaker,STADI,Good.
1,1,Caretaker,PARIS,"Oh, that wasn't a compliment. Until today I always considered your people warm and sensual."
1,1,Caretaker,STADI,I can be warm and sensual.
1,1,Caretaker,PARIS,Just not to me.
1,1,Caretaker,STADI,"Do you always fly at women at warp speed, Mister Paris?"
1,1,Caretaker,PARIS,Only when they're in visual range.
1,1,Caretaker,STADI,That's our ship. That's Voyager.
1,1,Caretaker,STADI,Intrepid class. Sustainable cruise velocity of warp factor nine point nine seven five. Fifteen decks. Crew complement of one hundred and forty one. Bio-neural circuitry.
1,1,Caretaker,PARIS,Bio-neural?
1,1,Caretaker,STADI,"Some of the traditional circuitry has been replaced by gel packs that contain bio-neural cells. They organize information more efficiently, speed up response time."
1,1,Caretaker,QUARK,"If I may say so, it's been my special pleasure to see many new officers like yourself come through these portals. Your parents must be very proud, my boy. You know, on an occasion like this"
1,1,Caretaker,KIM,I'm really not interested.
1,1,Caretaker,QUARK,Interested?
1,1,Caretaker,KIM,"You were about to try to sell me something, right?"
1,1,Caretaker,QUARK,I was merely going to suggest that your parents might appreciate a memento of your first mission.
1,1,Caretaker,KIM,And you happen to have several to choose from?
1,1,Caretaker,QUARK,"I do carry a select line of unique artifacts and gem stones indigenous to this region. Why, quite recently, I acquired these Lobi crystals from a very strange creature called a Morn."
1,1,Caretaker,KIM,We were warned about the Ferengi at the Academy.
1,1,Caretaker,QUARK,"Warned about Ferengi, were you?"
1,1,Caretaker,KIM,That's right.
1,1,Caretaker,QUARK,Slurs about my people at Starfleet Academy.
1,1,Caretaker,KIM,What I meant was
1,1,Caretaker,QUARK,"Here I am, trying to be a cordial host, knowing how much a young officer's parents would appreciate a token of his love on the eve of a dangerous mission, and what do I get for my trouble? Scurrilous insults. Well, somebody's going to hear about this. What's your name, son?"
1,1,Caretaker,KIM,My name?
1,1,Caretaker,QUARK,"You have one, I presume?"
1,1,Caretaker,KIM,"Kim, Harry Kim. But I"
1,1,Caretaker,QUARK,And who was it at the Academy who warned you about Ferengi?
1,1,Caretaker,KIM,"You know, I think a memento for my parents would be a great idea."
1,1,Caretaker,QUARK,"Oh, no, no, no, no, no."
1,1,Caretaker,KIM,Really. What are these? It would make a great pendant for my mother.
1,1,Caretaker,QUARK,Or cufflinks for your father.
1,1,Caretaker,KIM,Cufflinks. Great idea.
1,1,Caretaker,QUARK,"They're not for sale. Now, inform your commanding officer that the Federation Council can expect an official query."
1,1,Caretaker,KIM,How much for the entire tray?
1,1,Caretaker,QUARK,Cash or credit?
1,1,Caretaker,PARIS,"Dazzling, aren't they? As bright as a Koladan diamond."
1,1,Caretaker,QUARK,Brighter.
1,1,Caretaker,PARIS,Hard to believe you can find them on any planet in the system.
1,1,Caretaker,QUARK,That's an exaggeration.
